匕 bi3 "dagger; ladle"
鼖 fen2 "large brass drum"
䫏 qi1 "mask of a god used in ceremonies to exorcise demons and drive away pestilence"
䯝 sui3 "marrow; essence; quintessence; pith (soft interior of plant stem)"
鼏 mi4 "cover of tripod kettle"
鼂 chao2 "sea turtle"
䳭 ji2 "wheatear (bird of genus oenanthe)"
丨 gun3 "radical in chinese characters (kangxi radical 2)"
丮 ji3 "to catch"
偨 ci1 uneven
偩 fu4 "to rely on; to resemble"
偫 zhi4 "to wait for; to lay in"
偯 yi3 "to sob; wail"
鶸 ruo4 siskin
鶵 chu2 "chick; young bird"
偱 xun2 "to tell"
傎 dian1 "inversion; mistake"
鶦 hu2 pelican
傔 qian4 servant
鶤 kun1 "mythical monstrous bird, cf sinbad's roc"
傜 yao2 "yao tribe"
傞 suo1 "uneven; unsteady (in dancing)"
鶗 ti2 "a kind of hawk"
鶒 chi4 "a kind of waterbird"
傮 zao1 "finish, to go around"
傿 yan1 "name of an immortal"
鶂 yi4 hawk
傿 yan4 "fraudulent price"
鵻 zhui1 "snipe; turtle-dove"
鵺 ye4 "a kind of bird similar to pheasant"
鹓 yuan1 "firebird (mythology)"
鵵 tu4 "scops semitorques"
僄 piao4 "light; airy"
働 xx5 work
鵫 zhao4 pheasant
僜 deng4 "deng ethnic minority of tibet"
鵩 fu2 owl
僝 chan2 "to revile; to abuse"
僣 jian4 "to overstep one's authority; to usurp"
僩 xian4 "courageous; valiant"
咾 lao3 "a noise; a sound"
佡 xian1 "light (as a feather)"
麌 wu2 "stag; herd"
佹 gui3 "(literary) perverse; unreasonable; (literary) eccentric; enigmatic; (literary) by chance; all of a sudden"
佾 yi4 "row of dancers at sacrifices"
侀 xing2 "shape; statute"
麃 biao1 "to weed"
侅 gai1 "to give; prepared for included in; embraced in"
侇 yi2 "category; corpse"
侐 xu4 "still; silent"
侚 xun4 "(literary) quick"
侜 zhou1 "to conceal; to cover"
鸓 lei3 "flying squirrel"
鸒 yu2 "the eastern jackdaw"
鸐 di2 "reeves's pheasant (syrmaticus reevesii)"
鸁 luo2 "grebe; wren"
鷾 yi4 "a swallow"
俛 mian3 "to exhort"
俴 jian4 "short; shallow; thin plate"
鷬 huang2 "black-naped oriole (oriolus chinensis)"
鷩 bi4 "phasianus pictus"
俷 fei4 "(literary) to violate (a moral code)"
倃 jiu4 "to malign; to slander"
倅 cui4 "auxiliary; spare; deputy; second; sub-"
倢 jie2 handsome
鹥 yi1 "wigeon (anas penelope, a eurasian duck)"
鷕 yao3 "cry of hen pheasant"
偝 bei4 "to disobey; to stand back-to-back"
鷏 zhen1 "bird name"
偟 huang2 "(literary) free time; leisure; agitated"
鷇 kou4 fledglings
鷃 yan4 "quail-like bird"
偢 chou3 "to stare at"
𩙫 sao1 "blowing of the wind"
掟 zheng3 "to toss"
歊 xiao1 "vapor; steam"
袮 ni3 "you; thou (of deity)"
褔 fu4 "full up"
辻 shi2 "intersection; pr. tsuji"
眛 mei4 "blind; imperceptive"
𬮤 ge2 "side door; pavilion; cabinet; boudoir"
挌 ge2 fight
絃 xian2 "bow string; string of musical instrument; watch spring; chord (straight line joining two points on a curve); hypotenuse"
茖 ge2 "allium victorialis"
𨱍 lang2 "large hammer"
籚 lu2 "basket made of rush; spear-shaft"
呡 wen3 "the corners of the mouth; the lips"
暻 jing3 bright
徯 xi1 "footpath; wait for"
廾 gong3 "hands joined"
慉 xu4 "to foster; to bear"
囗 wei2 enclosure
囍 xi3 "symbol of good luck, esp. marriage"
𫟷 li4 "livermorium (chemistry)"
沷 fa1 "to remove evil; to cleanse; to wash away"
扡 chi3 "drag along"
燿 yao4 "brilliant; glorious"
茇 ba2 betel
苺 mei2 strawberry
醣 tang2 carbohydrate
擗 pi3 "to beat the breast"
𨅬 lan2 "to pass; to step over; to creep; to twine round"
𨀁 long2 "to walk"
𮙋 du2 "to murmur; to slander"
暪 men4 dark
屌 diao3 "penis; (slang) cool or extraordinary"
菸 yan1 "cigarette; tobacco; smoke"
祂 ta1 "(third person pronoun for a divine being)"
𡳞 lin4 penis
嘢 ye3 "matter; stuff"
𠩺 xi1 "to split open; crack"
牠 ta1 "it (used for animals)"
囧 jiong3 "(since c. 2005) (slang) emoticon signifying embarrassment, shock, helplessness etc"
摺 zhe2 "document folded in accordion form; to fold"
拚 pan4 "to strive for; to struggle; to disregard; to reject"
吋 cun4 "inch (english)"
吔 ye1 "onomat. for surprise, amazement and sigh"
堀 ku1 "cave; hole"
𪉈 ci2 "(a kind of waterbird)"
玆 zi1 "now; here; this; time; year"
𩾁 qiu2 "lepidotrigla strauchi"
嗙 pang3 "to brag"
呎 chi3 "foot (unit of length equal to 0.3048 m)"
跩 zhuai3 "to waddle; to swagger; (coll.) strutting; self-satisfied"
睪 yi4 "to spy out"
钸 bu1 "metal plate"
𫚉 hong2 "ray (fish)"
磺 huang2 sulfur
榎 jia3 "(evergreen shrub); celtis sinensis"
暸 liao2 "bright; clear"
朊 ruan3 protein
篠 xiao3 "dwarf bamboo"
椌 qiang1 "(wooden mus. instr.)"
鏽 xiu4 "to rust"
箝 qian2 "pliers; pincers; to clamp"
菫 jin3 violet
彽 chi2 "go to and fro"
𤈶 yun2 "(yellow color)"
蛌 gu3 cricket
茍 ji2 urgent
蓧 diao4 "bamboo basket"
鲶 nian2 "sheatfish (parasilurus asotus); oriental catfish"
𣨼 ti4 fatigue
罝 ju1 "net for catching rabbits"
藴 yun4 "to hold in store; to contain; to gather together; to collect; depth; inner strength; profundity"
𢬍 ye4 "to press down"
□ biang4 awesome
□ ging1 "uptight; obstinate"
々 xx5 "iteration mark (used to represent a duplicated character)"
𡶴 chan3 "winding mountain path"
𪧘 ju4 "poor; rustic"
𡥧 lai2 last
𡒄 lan3 disappointed
〇 ling2 zero
〻 xx5 "iteration mark (used to represent a duplicated character)"
𠯠 hui1 "to speak falsely or wrongly; ugly"
㗂 sheng3 "tight-lipped; to examine; to watch; to scour (esp. cantonese)"
㛂 nuo3 "graceful; frail and petite"
𠇹 jing4 "(literary) to pass through; straight; path"
𪨊 song2 "(coll.) semen; weak and incompetent"
鿬 tian2 "tennessine (chemistry)"
鿫 ao4 "oganesson (chemistry)"
㞎 ba3 "poo; to shit"
龤 xie2 "to harmonize; to accord with; to agree"
龡 chui4 "to blow (a flute)"
龖 da2 "a vista of a dragon in flight"
㞗 qiu2 dick
厐 pang2 enormous
徬 pang2 irresolute
佷 hen3 "to act contrary to"
姫 ji1 "princess; imperial concubine"
汍 wan2 "shed tears"
𧮪 zhan1 "garrulous; to whisper; to joke"
梱 kun3 "movable door sill"
𧏖 bin1 pearl-oyster
芚 tun2 "green sprout; foolish"
慇 yin1 solicitous
𣍰 qian3 "pelvic cavity; lower abdomen"
斮 zhuo2 "cut off"
𦈕 yu2 net
旽 tun1 "morning sun, sunrise"
糸 mi4 "fine silk; kangxi radical 120"
𦈌 shu1 "a kind of sackcloth"
冧 lin2 "to collapse; to coax; flower bud"
佪 huai2 "irresolute; to move back and forth"
蹓 liu4 "to stroll; walk a horse"
擭 huo4 trap
𥫣 yu2 "round basket used for feeding the cattle"
儃 chan2 "indecisive; irresolute"
𥬠 chou1 "basket for straining; to strain"
嬅 hua2 beautiful
𥆧 shun4 "wink; twinkle; very short time"
𥆧 run2 "twitch (muscle or eyelid)"
挢 jiao3 "to raise; to lift; to pretend; counterfeit; unyielding; to correct"
𤶊 guai4 "(literary) serious illness"
氽 tun3 "to float; to deep-fry"
栃 li4 "stable (for horses)"
瘈 ji4 "furious; hydrophobia; madness"
咹 e4 eh?
畑 tian2 "dry field (i.e. not paddy field)"
哋 di4 "(cant.) plural for pronouns"
哤 mang2 jargon
騺 zhi4 "heavy horse; horse unable to move because of twisted leg; plodding"
哫 zu2 "to cajole"
唅 han2 "(literary) to put in the mouth"
䯄 gua1 "piebald horse"
唈 yi4 "palpitation; short breathing"
騢 xia2 (horse)
騗 pian4 "to get on a horse by swinging one leg over"
騕 yao3 "name of a fabulous horse"
騑 fei1 "side horse (in a team of harnessed horses); horse"
唊 jia2 "to talk nonsense; talkative"
騋 lai2 mare
騉 kun1 "fine horse"
騇 she4 "mare; female horse"
騆 zhou1 "divine horse"
騃 ai2 "stupid; idiotic"
唎 li4 "(final particle); sound; noise"
駾 tui4 "approach at swift gallop (on horses)"
駽 xuan4 gray
駻 han4 "(of horse) fierce; wild"
駹 mang2 "black horse with a white face"
唫 jin4 "to stutter; to shut one's mouth"
駴 xie4 "thunderous beating of drums"
唲 er2 "forced laughter"
駯 zhu1 "black muzzle (of a horse)"
駬 er3 (horse)
唶 jie4 "sigh; groan; loud laughter"
唹 yu2 "to smile at"
駜 bi4 "strong horse"
啅 zhao4 chirp
吰 hong2 clang
呏 sheng1 "gallon; quart"
髧 dan4 "long hair"
呠 pen1 "to spurt; to blow out; to puff out; to snort"
髣 fang3 seemingly
呧 di3 vex
髟 biao1 "hair; shaggy"
髞 sao4 "high; imposing; eminent"
呫 tie4 "to mutter; to talk indistinctly"
呫 zhan1 "to drink; to sip; to taste; to lick; whisper; petty"
呬 xi4 "to rest"
髍 mo2 "paralysis of one side of the body"
髆 bo2 "shoulder blade"
呰 zi3 "to slander; to blame; to revile"
呴 xu1 "breathe on; yawn; roar"
呺 xiao1 "voice of anger; vast; spacious"
骹 qiao1 "shank (the leg from knee to ankle); leg (from hip to ankle); (horse anatomy) pastern"
骴 ci1 "a putrid carcass"
呿 qu1 "to yawn"
骭 gan4 shinbone
骫 wei3 "be bent; crooked (of bones)"
咅 pou3 "pooh; pah; bah"
咈 fu2 oppose
驙 zhan1 (horse)
驖 tie3 "dark brown horse"
驔 dian4 "black horse"
驒 tuo2 (horse)
咠 qi4 "to whisper; to blame, to slander"
咢 e4 "beat a drum; startle"
驈 yu4 "black horse with white legs"
咮 zhou4 "beak of bird; peck at"
咷 tao2 wail
餪 nuan3 "send a present of a feast"
餩 e4 hiccup
餤 tan2 "to advance"
餟 zhui4 "circle shrines and make sacrifices"
嗿 tan3 "sound of many people eating"
啀 ai2 "to growl (of dog); to bare fangs"
饾 dou4 "to set out food"
馂 jun4 "remains of a sacrifice or a meal"
嘐 xiao1 "boastful; bombastic"
嘒 hui4 "shrill sound; twinkling"
餋 juan4 "to offer sacrifices"
啯 guo1 "sound of swallowing; croak"
餈 ci2 "fried rice cake"
餇 tong2 food
餂 tian3 "to obtain by deception"
餀 hai4 "tainted food"
飶 bi4 "fragrance of food"
嘦 jiao4 "if only; so long as"
噏 xi1 "to gossip"
噞 yan3 "the movement of a fish's mouth at the surface of the water"
噭 jiao4 shout
噳 yu3 "herd; stag; buck"
饦 tuo1 (cake)
饤 ding4 "display food for show only; sacrifice"
噷 hen4 "interjection expressing disagreement, reproach or dissatisfaction"
飂 liao2 "wind in high places"
嚃 ta4 "(literary) to drink; to swallow"
颽 kai3 "balmy; genial as wind"
哜 ji4 sip
飖 yao2 "floating in the air"
嚗 bo2 "sound of an object falling to the ground; a cry of rage"
嚜 me5 "(final particle)"
啍 tun1 "move slowly"
駗 zhen1 "chatter mark"
啎 wu3 "obstinate, disobedient, intractable"
駋 zhao1 (horse)
駆 qu1 "to gallop"
啱 yan1 "correct; suitable; to suit sb"
馵 zhu4 (horse)
馲 tuo1 camel
啲 di1 "some; few"
馣 yan3 "fragrant odor"
馡 fei1 fragrant
喌 zhou1 syllable
㖞 wai1 "awry (mouth); askew"
喓 yao1 "grasshopper chirp; mosquito buzz"
喣 xu3 "to breathe upon"
饙 fen1 "to steam rice"
喦 nie4 talkative
饐 yi4 rancid
饎 chi4 "food; to cook"
喨 liang4 "clear; resounding"
喭 yan4 "condole with"
饇 yu4 "to eat too much; to confer"
喼 jie2 "used to transliterate words with sounds kip-, cap- etc"
喿 sao4 "chirping of birds"
嗀 huo4 "to vomit"
馎 bo2 "rice cake"
嗃 he4 "scold with severity"
嗈 yong1 "to choke"
餲 he2 "spoiled; sour; moldy"
嗛 qian4 "pouch; hold; content"
餯 hui4 "(of food) rotten and smelly"
嗹 lian2 chattering
鱵 zhen1 "hyporhampus sajuri"
鱮 xu4 "hypophthalmichthys moritrix"
冃 mao4 "hat; cap"
冓 gou4 "inner rooms of palace; ten billions"
鱥 gui4 minnow
冘 yin2 "to go forward; to advance"
冞 mi2 deep
凅 gu4 "dried up; dry; exhausted; tired"
鱐 su4 "dried fish"
鱎 jiao3 (fish)
鱆 zhang1 octopus
鱄 zhuan1 "fish (meaning variable: mackerel, anchovy, fresh-water fish)"
凊 jing4 "(literary) cold; cool; chilly"
鰽 qiu2 herring
凔 cang1 cold
凞 xi1 "bright; splendid; glorious"
凵 kan3 receptacle
鰫 yong2 "bighead carp"
鰦 zi1 "bad person (cantonese slang)"
鳆 fu4 "haliotis gigantea; sea ear"
刌 cun3 "(literary) to cut off; to sever"
鰋 yan3 mudfish
鰅 yu2 "a kind of striped fish"
刓 wan2 "to trim"
刜 fu2 "to chop; strike"
刡 min3 "to scrape; to pare"
鯸 hou2 blowfish
刲 kui1 "cut open and clean"
刵 er4 "cutting off the ears as punishment"
鯥 lu4 "pomatomus saltatrix; bluefish"
剒 cuo4 "to cut; to carve"
鯠 lai2 "to confer; to bestow on an inferior; to reward"
鵙 ju2 "a shrike"
鵗 xi1 pheasant
僯 lin3 ashamed
僾 ai4 "indistinct; hazy; misty; to seem; to appear"
僿 sai4 "small, minute; lacking sincerity"
儅 dang1 stop
儊 chu4 "rough and rugged"
儌 jiao3 "by mere luck"
鵀 ren4 hoopoe
鴽 ru2 "quail-like bird"
傤 zai4 "load; cargo; to transport; to deliver; to bear; to support"
鴳 yan4 quail
儓 tai2 servant
儜 ning2 "weak; wearied; in distress"
鴥 yu4 "(of a bird) to fly swiftly; to swoop"
儤 bao4 "on night duty"
鴢 you4 (duck)
鴠 dan4 "a kind of nightingale"
儩 si4 "the end; to finish"
儭 chen4 "to assist; to give alms"
儱 long3 "rude; barbarous"
鴗 li4 "alcedo bengalensis"
㑩 luo2 "smart; clever"
鴄 pi1 "wild duck"
鴃 jue2 shrike
鴂 jue2 "tailorbird (orthotomus spp.); weaver bird (family ploceidae); cuckoo"
儹 zan3 "to accumulate, to hoard, to store up"
鳻 fen1 "the wild pigeon"
鳷 zhi1 "general term for jay; garrulus lidthi"
儽 lei3 "lazy; tired out, worn fatigued"
鳦 yi3 "a swallow (bird)"
兟 shen1 "to advance"
卌 xi4 forty
魌 qi1 "mask of a god used in ceremonies to exorcise demons and drive away pestilence"
魊 yu4 "ghost of a child"
卝 guan4 "two bunches of hair on a child"
卼 wu4 "uncomfortable; unsteady"
卽 ji2 promptly
厎 zhi3 whetstone
鬵 qian2 "big iron pot; cauldron"
厔 zhi4 "river bent"
厜 zui1 "a mountain peak"
鬫 kan4 "to roar; to growl"
厞 fei4 "to hide; hideout"
鬠 kuai4 "to make a top knot"
厪 jin3 hut
鬙 seng1 "short hair; unkempt"
鬗 man4 "head ornaments; pretty hair"
鬖 san1 "wild hair"
鬑 lian2 "hanging temple hair"
鬐 qi2 "dorsal fins; horse's mane"
厹 qiu2 spear
鬎 la4 "bald; scabby"
鬋 jian1 "to hang down (hair)"
厹 rou2 "to trample"
鬅 peng2 disheveled
鬄 di2 wig
鬁 li4 "bald; scabby"
髾 shao1 "tail of a comet; long hair"
叒 ruo4 obedient
髺 kuo4 "hair rolled up in a bun"
吪 e2 move
髳 mao2 "bang (hair); fashionable; mane"
髲 pi4 "a wig"
剚 zi4 "erect; stab"
鯙 chun2 "scomberomorus sinensis"
剳 da2 "hook; sickle"
剸 tuan2 slash
鯈 chou2 "leuciscus macropus"
剺 li2 mark
鯆 fu3 "the skate or ray"
鮿 zhe2 "(fresh-water fish)"
劖 chan2 "bore; cut; polish"
劘 mo2 whittle
鮨 qi2 "sushi; grouper (portuguese: garoupa); epinephelus septemfasciatus"
劙 li2 "a divide, to partition"
劦 lie4 "unending exertion"
劦 xie2 "to cooperate; combined labor"
劮 yi4 leisurely
劻 kuang1 zealous
勗 xu4 "exhort; stimulate"
勯 dan1 exhausted
勷 rang2 haste
魾 pi1 "bagarius, an asian genus of catfishes"
魸 pian4 catfish
魵 fen2 shrimp
匉 peng1 "noise of waters"
魬 fan3 "sole or flounder"
魦 sha1 "shark family, including some rays and skates"
魣 yu2 perch
匋 tao2 pottery
匑 gong1 "to bow; to salute"
匽 yan3 "to hide, to secrete, to repress; to bend"
魖 xu1 black
卄 nian4 "twenty, twentieth"
卆 zu2 "to die"
疶 xie4 dysentery
莦 shao1 "jungle grass; lair"
疧 qi2 "(literary) disease"
疕 bi3 "facial skin disease; mange"
疒 ne4 "sick; sickness; kang xi radical 104"
疋 shu1 foot
畾 lei2 "fields divided by dikes"
菆 zou1 "arrow; weeds"
畽 tuan3 "place trodden by animals"
畷 chuo4 "raised path between fields"
菎 kun1 "beautiful jade; bamboo"
菐 pu2 "thicket; tedious"
菑 zi1 "field recently opened for cultivation"
畟 ce4 sharp
畇 yun2 "reclaimed land"
甽 quan3 "drain between fields, irrigation"
痲 ma2 "leprosy; numb"
荈 chuan3 "thea sinensis"
痯 guan3 ill-looking
痭 peng2 menorrhagia
荵 ren3 polemonium
痡 pu1 "sick; disabled"
痠 suan1 "to ache; to be sore"
痜 tu1 bald
痚 xiao1 "asthma; difficulty in breathing"
莔 meng2 "fritillaria verticillata"
莕 xing4 "nymphoides peltatum"
痗 mei4 "disease caused by anxiety"
莚 yan2 "bamboo mat; feast, banquet"
痏 wei3 "a bruise or contusion"
痌 tong1 "moaning in pain"
痁 dian4 "malarial fever"
甹 ping1 "chivalrous knight"
甀 zhui4 "vase with a small mouth"
瓵 yi2 "earthen jar"
荝 ce4 "plant genus aconitum, aka monkshood or wolf's bane (used as poison and medicine)"
瓬 fang3 "potter; ceramicist"
葄 zuo4 "straw cushion; pillow"
葇 rou2 "elsholtria paltrini"
葍 fu2 weeds
瓁 wo4 "uncarved jade"
璸 bin1 (pearl)
㻅 hui4 "jade ornament in the seams of cap"
璚 qiong2 "(red stone)"
璚 jue2 "half-circle jade ring"
璅 suo3 "fragmentary; trifling"
葥 qian2 "rubus palmatus"
葧 bo2 "heleocharis plantaginea"
犺 kang4 "fierce dog"
菢 bao4 hatch
菣 qin4 "artemisia apiacea"
菧 di3 stibene
甮 feng4 "please don't"
甮 beng2 "need not"
甝 han2 "white tiger"
菶 beng3 "expand; thick weeds"
菸 yu1 "to wither; dried leaves; faded; withered"
菺 jian1 "althaea rosea"
甔 dan1 "big jar"
菾 tian2 "sugar beet"
甒 wu3 "vase; jar"
甋 di4 "a jar without ears"
甇 ying1 "earthen jar with long neck"
甃 zhou4 "brickwork of well"
萐 sha4 "(auspicious herb)"
矔 guan4 "brilliant (of eyes)"
睅 han4 "protuberant eyes"
眽 mo4 "to gaze; to ogle to look at"
眹 zhen4 pupil
芧 xu4 "scirpis maritimus; small chestnut"
眴 xuan4 "dazzled; dizzy"
眳 ming2 "space between the eyebrows and the eyelashes"
眣 die2 "prominent eyes"
眕 zhen3 "to restrain anger"
眑 yao3 "sunken eyes; deep; abstruse"
眅 pan1 "show the whites of eyes"
盻 xi4 "to glare at"
盭 li4 "unreasonable; violent"
盬 gu3 "covered pot"
芿 reng4 "weeds that regrow from cut-down roots"
盩 zhou1 "name of a district in shaanxi"
盝 lu4 "box case"
艩 qi2 tholepin
矉 pin2 "to glare angrily; to open the eyes with anger; to knit the brows"
艬 chan2 "large ship"
艭 shuang1 boat
瞷 jian4 "to spy"
瞕 zhang4 "cataract in the eye"
瞏 qiong2 "(literary) to gaze in terror; (literary) alone; unaided"
睯 hun1 "gloomy; depressed"
睟 sui4 "bright eye; clear"
睙 lie4 "to roll the eyeballs to look"
睖 leng4 "to stare blankly; to glare"
睒 shan3 "furtively glance; glittering"
芔 hui4 "a general term for plants"
芕 sui1 "a kind of medicinal herb"
睊 juan4 look
睆 huan3 "good-looking; cute"
皽 zhao1 "(literary) dead skin cells on the surface of the skin"
瘝 guan1 "incapacitated; inefficient"
瘜 xi1 "a polypus"
瘚 jue2 "to hiccup; the humours of the body"
瘖 yin1 mute
茞 chen2 "fragrant plant; angelica"
茠 xiu1 "to weed; to eradicate"
茢 lie4 "rushes; sedges"
茥 gui1 "rubus tokkura"
茦 ce4 "pointed grass blade; to prick"
瘏 tu2 "be injured; ill (of animals)"
茷 fa2 "denseness of grass-foliage"
茻 mang3 "rank grass; overgrown weeds"
瘉 yu4 "to heal"
痖 ya3 "mute, incapable of speech"
痻 min2 "to be ill"
痵 ji4 "nervous start in sleep"
皻 zha1 rosacea
皻 cu3 "chapped skin"
皫 piao3 white
苙 li4 "(herb); pigsty"
皪 li4 "luster (of pearls)"
皝 huang3 "luminous; bright hoary, white"
皘 qian4 white
苪 bing3 "bright; shining, splendid"
苶 nie2 "weary; tired"
皁 zao4 "black; police runners, from the black clothes formerly worn by them"
皀 bi1 "one grain"
癪 ji1 "spasms; convulsions; hysteria"
癠 ji4 "sick; diseased"
癙 shu3 "illness caused by worry"
瘯 cu4 "(skin disease)"
瘨 dian1 "convulsions; crazy"
薃 hao4 "cyperus amuricus"
牳 mu3 (bovine)
牣 ren4 "fill up; to stuff"
薆 ai4 "to cover; to hide; to conceal"
薉 wei4 weedy
牏 tou2 "short board; plank"
薐 leng2 "old name for spinach"
薖 ke1 "big; hungry-looking"
牄 qiang1 "to walk rapidly"
爓 yan4 flame
薧 kao3 "dried food"
爌 kuang4 "bright and spacious"
爌 kuang3 "flame light"
薶 wo1 "to make dirty; to soil"
爌 huang3 bright
薽 zhen1 "(grass); (orchid)"
犵 qi4 "name of a tribe"
犛 li2 "black ox; yak"
蕝 jue2 "coarse grass used to show rank"
犗 jie4 "castrated bull; bullock"
蕡 fen2 "hemp seeds; luxurious; abundant"
犎 feng1 "zebu; indicus cattle; humped ox"
蕣 shun4 "hibiscus syriacus"
犉 run2 ox
蕮 xi4 "plantain (plantago asiatica); common water-plantain (alisma plantago-aquatica)"
蕶 ling2 "withered (plant, herb etc)"
蕸 xia2 "water-lily leaves"
犆 te4 "male animal"
牼 keng1 "shank bone of ox"
牸 zi4 "female of domestic animals"
牷 quan2 "one-color bullock"
牴 di3 "to butt; resist"
薾 er3 "luxuriant growth of flower"
蘗 nie4 "shoots from an old stump"
蘝 lian3 "liana; creeper; wild vine (gynostemma pentaphyllum or vitis pentaphylla)"
熯 han4 "to dry with fire"
熤 yi4 (person)
熁 xie2 "(meaning uncertain)"
蘵 zhi2 "physalis angulata"
熀 huang3 "bright; dazzling"
虀 ji1 "fragment; salted vegetables; spices"
虍 hu1 "stripes of a tiger"
煻 tang2 "to warm; to toast"
煰 zao4 dry
虖 hu1 "to exhale; to call; scream of tiger"
虡 ju4 "bell pendant stand"
虣 bao4 "cruel; violent"
虥 zhan4 "striped wild cat"
虩 xi4 terrified
燽 chou2 "salience; prominent; notable"
藄 qi2 (fern)
藇 xu4 beautiful
㶶 nong2 "to scorch"
藋 diao4 "sambucu javinica"
燨 xi1 fire
藘 lü2 madder
藙 yi4 "zanthoxylum ailanthoides"
藚 xu4 "alisma plantago"
燡 yi4 "blazing; radiant"
燂 qian2 "to heat; to scorch"
藾 lai4 "(fragrant labiate plant)"
熿 huang2 brilliant
蘁 wu4 "to disobey; contrary; against; to go against; to violate"
熸 jian1 "to extinguish (of fire)"
熳 man4 "to spread"
瑿 yi1 "a black stone like jade; jet"
蒪 po4 "myoga ginger (zingiber mioga)"
玍 ga3 "bad temper; naughty"
玊 su4 "jade with a blemish; person who cuts and polishes jade"
玈 lu2 black
玂 qi2 "dog giving birth to a puppy"
獳 nou4 "angry dog"
獢 xiao1 dog
獞 tong2 "name of a variety of dog; wild tribes in south china"
獝 yu4 devil
獜 lin2 firefly
獚 huang2 spaniel
蓌 cuo4 "to squat (in salutation)"
獉 zhen1 jungle
蓒 xuan1 "a kind of smelly water plant"
蓔 yao3 "a variety of grass"
獃 dai1 foolish
瑽 cong1 "tinkling of jade pendants"
瑏 chuan1 (jade)
琱 diao1 "to engrave gems"
琠 dian3 "gem used as ear plug; jade earrings"
琖 zhan3 "wine cup"
葹 shi1 "xanthium strumarium"
琁 xuan2 "beautiful jade; star"
葽 yao1 "polygala japonica; lush (grass)"
珶 di4 "white jade worn on belt"
珚 yan1 "a kind of jade"
珔 jian4 (jade)
珓 jiao4 "pair of hemispherical objects used in divination"
珃 ran3 (jade)
玗 yu2 "semiprecious stone; a kind of jade"
蒢 chu2 hedysarum
玔 chuan4 "jade ring"
蓪 tong1 "aralia papyrifera"
蔎 she4 "thea sinensis"
猘 zhi4 "mad dog"
蔘 shen1 ginseng
蔙 xuan4 (herb)
猓 guo3 monkey
猋 biao1 whirlwind
猈 ba4 "dog with short shinbone"
狫 lao3 "name of a tribe"
蔯 chen2 "a variety of artemisia"
狦 shan1 "beast resembling a wolf"
蔾 li2 chenopodiaceae
狘 yue4 jump
狓 pi1 ferocious
蕍 yu2 "common water-plantain (alisma plantago-aquatica)"
蕑 jian1 "eupatorium chinensis"
狆 zhong4 pekingese
蓫 zhu2 "(weed); phytolacca acinosa"
獀 sou1 "dog (dial.); to hunt"
猸 mei2 "used for ferret, badger or mongoose"
蓷 tui1 "leonurus macranthus"
蓸 cao2 "(a kind of herb)"
蓺 yi4 "skill; art"
猵 bian1 "a kind of otter"
猳 jia1 "mythical ape"
猲 xie1 "short-snout dog"
猲 he4 "frightened; terrified"
蔂 lei2 "basket for carrying earth; to entwine; creeper; bramble; (literary) basket for carrying soil"
蔇 ji4 "luxuriant growth; extreme; reach"
蔉 gun3 "to bank up the roots of plants"
猭 yuan2 "ape; hylobates agilis"
蔋 di2 "dry; scorched"
猣 zong1 "dog giving birth to three puppies"
纙 luo4 "string on which coins are strung"
簁 xi3 "sieve; to sift, to strain"
罳 si1 screen
篹 zhuan4 "to compose; to compile; food; delicacies"
罻 wei4 "bird net"
篹 suan3 "bamboo container for hats"
篶 yan1 "black bamboo"
罿 tong2 "bird net"
羃 mi4 "cover of cloth for food; veil"
篴 di2 flute
篰 bu4 "sieve-like utensil"
篨 chu2 "crude bamboo mat"
羍 da2 "little lamb"
篧 zhuo2 "creel for trapping fish"
篟 qian4 "luxuriant growth of bamboo"
羜 zhu4 "five-month-old lamb"
篜 zheng1 bamboo
纚 li2 "(literary) to bind; to fasten; rope"
纚 xi3 "silk headband"
簦 deng1 "large umbrella for stalls"
罃 ying1 "earthen jar with long neck"
簥 jiao1 "large pipe"
罏 lu2 "pile of earth to keep wine jars"
罒 wang3 "net (kangxi radical 122)"
罓 wang3 "net (kangxi radical 122)"
簜 dang4 (bamboo)
罛 gu1 "large fishing net"
罠 min2 "animal trap"
簆 kou4 "healds of a loom"
罥 juan4 "bird catching net; to bind; to hang"
罦 fu2 "net for catching birds"
罫 gua4 "squares of a chess board"
罭 yu4 drag-net
羢 rong2 "wool of sheep"
箂 lai2 (bamboo)
翪 zong1 "uneven flight of a bird"
筸 gan1 "name of a place in henan"
筳 ting2 "bamboo pole; spindle"
筰 zuo2 cable
筭 suan4 "to regard as; to figure"
翿 dao4 "feather banner or fan"
筎 ru2 "thin outside skin of bamboo"
筊 jiao3 "bamboo rope"
筈 gua1 "arrow end"
筃 yin1 "a kind of bamboo"
笵 fan4 "bamboo mold"
笲 fan2 "osier basket of brides"
笰 fu2 duster
笭 ling2 "bamboo screen"
祄 xie4 "to bless"
篛 ruo4 "cuticle of bamboo plant"
羭 yu2 "black ram"
篃 mei4 "a kind of bamboo"
箾 shuo4 "to hit sb with a pole"
箯 bian1 "bamboo sedan chair"
羵 fen3 spirit
羶 shan1 "rank odor (of sheep or goats)"
箮 xuan1 "bamboo flower; flowering bamboo"
箛 gu1 "(bamboo); trumpet for chariots"
箙 fu2 quiver
箘 jun4 "bamboo shoots"
箑 sha4 fan
翏 liu4 "the sound of the wind; to soar"
