我,wo3,i; me; my
阴风,yin1feng1,chill wind; (fig.) evil wind
阴骘,yin1zhi4,charitable acts performed in secret; hidden good deeds
阴郁,yin1yu4,gloomy
阴魂,yin1hun2,ghost; spirit
阴鸷,yin1zhi4,malicious; treacherous
陈仓,chen2cang1,chencang district of baoji city
陈兵,chen2bing1,to deploy troops; to mass troops
陈化,chen2hua4,"to age; to mature (wine, timber etc)"
陈奏,chen2zou4,to present a memorial (to the emperor)
陈套,chen2tao4,set pattern; old habit
陈尸,chen2shi1,to lay out the corpse
陈年,chen2nian2,old; stored for many years
陈情,chen2qing2,to give a full account
陈放,chen2fang4,to display
陈皮,chen2pi2,orange peel; tangerine peel; dried orange peel used in chinese medicine
陈米,chen2mi3,old rice; rice kept for many years
陈绍,chen2shao4,old shaoxing wine
陈腐,chen2fu3,trite; empty and trite; banality; platitude
陈规,chen2gui1,outmoded conventions; old-fashioned ways
陈设,chen2she4,to display; to set out; furnishings
陈诉,chen2su4,to state; to assert
陈词,chen2ci2,to state one's views; speech; statement; plea
陈说,chen2shuo1,to state; to assert
陈货,chen2huo4,shop-worn goods; remnants
陈账,chen2zhang4,old debt
陈迹,chen2ji4,past events; relics from a former age; ruins
陈酒,chen2jiu3,old wine
陈醋,chen2cu4,mature vinegar
陴县,pi2xian4,pi county in sichuan
陵园,ling2yuan2,cemetery; mausoleum park
陵墓,ling2mu4,tomb; mausoleum
陵夷,ling2yi2,to deteriorate; to decline; to slump
陵寝,ling2qin3,tomb (of king or emperor)
陵水,ling2shui3,"lingshui lizu autonomous county, hainan"
陶俑,tao2yong3,a pottery figurine buried with the dead
陶匠,tao2jiang4,potter
陶器,tao2qi4,pottery
陶土,tao2tu3,potter's clay; kaolin
陶工,tao2gong1,pottery; potter
陶甄,tao2zhen1,to mold and educate people
陶盅,tao2zhong1,pottery bowl
陶砚,tao2yan4,ink stone made of pottery
陶笛,tao2di2,ocarina (musical instrument)
陶艺,tao2yi4,ceramic art
陷坑,xian4keng1,pitfall; pit as animal trap
陷害,xian4hai4,to entrap; to set up; to frame (up); to make false charges against
陷于,xian4yu2,caught in (a bad situation); to fall into (trap etc)
陷落,xian4luo4,to surrender (of a fortress); to fall (to the enemy); subsidence (of land)
陆上,lu4shang4,land-based; on land
陆坡,lu4po1,continental slope (boundary of continental shelf)
陆基,lu4ji1,land-based
陆架,lu4jia4,continental shelf
陆栖,lu4qi1,terrestrial; living on land
陆港,lu4gang3,mainland china and hong kong
陆生,lu4sheng1,"terrestrial (animal, species)"
陆贝,lu4bei4,land snail
陆路,lu4lu4,land route; overland route
陆运,lu4yun4,land transport
阳世,yang2shi4,world of the living
阳伞,yang2san3,parasol
阳具,yang2ju4,penis
阳刚,yang2gang1,manly; masculine
阳寿,yang2shou4,predestined lifespan
阳宗,yang2zong1,sun
阳平,yang2ping2,"evenly rising tone, the second tone of putonghua"
阳文,yang2wen2,characters cut in relief
阳历,yang2li4,solar calendar; western (gregorian) calendar
阳极,yang2ji2,anode; positive electrode; positive pole
阳江,yang2jiang1,"yangjiang, prefecture-level city in guangdong"
阳炎,yang2yan2,dazzling sunlight; glare of sunlight
阳物,yang2wu4,penis
阳痿,yang2wei3,(med.) impotence
阳萎,yang2wei3,impotence
阳谋,yang2mou2,to conspire openly; overt plot
阳道,yang2dao4,penis
阳间,yang2jian1,the world of the living
阳电,yang2dian4,positive electric charge
隆乳,long2ru3,breast enlargement
隆冬,long2dong1,midwinter; the depth of winter
隆情,long2qing2,profound love
隆河,long2he2,"rhone, river of switzerland and france"
隆胸,long2xiong1,to enlarge the breasts; breast enlargement
隆起,long2qi3,to swell; to bulge
隆隆,long2long2,rumble
队伍,dui4wu3,ranks; troops; queue; line; procession
队列,dui4lie4,formation (of troops); alignment; (computing) queue; cohort (in a study)
队友,dui4you3,"member of same class, team, work group etc; teammate"
队尾,dui4wei3,back of the line; last one in line
队旗,dui4qi2,team pennant
队服,dui4fu2,team uniform
队部,dui4bu4,office; headquarters
隋末,sui2mo4,last years of the sui dynasty; early 7th century ad
阶位,jie1wei4,order; rank; level
阶地,jie1di4,terrace (geography)
隔世,ge2shi4,separated by a generation; a lifetime ago
隔夜,ge2ye4,overnight; of the previous day
隔天,ge2tian1,the next day; on alternate days
隔山,ge2shan1,half-sibling relationship; brothers with different mother; step-
隔扇,ge2shan5,partition; partition board
隔断,ge2duan4,partition; to stand between; wall or fence serving as partition
隔热,ge2re4,"to insulate thermally; insulating (material, effect etc)"
隔绝,ge2jue2,isolated (from the world); disconnected
隔膜,ge2mo2,diaphragm (anatomy); distant (socially aloof); divided by lack of mutual comprehension; nonexpert
隔行,ge2hang2,to interlace; to interleave (computing)
隔都,ge2dou1,ghetto (loanword)
隔间,ge2jian1,compartment; booth; cubicle; partitioned-off area
隔音,ge2yin1,soundproofing
陨命,yun3ming4,to die; to perish
陨坑,yun3keng1,meteorite crater
陨星,yun3xing1,meteorite; falling star
陨落,yun3luo4,to fall down; to decay; to fall from the sky; to die
陨首,yun3shou3,to offer one's life in sacrifice
隘口,ai4kou3,narrow mountain pass; defile
隘谷,ai4gu3,ravine; canyon; v-shaped river valley with steep sides
隘路,ai4lu4,defile; narrow passage
隙缝,xi4feng4,aperture
际会,ji4hui4,opportunity; chance
际遇,ji4yu4,circumstance(s) encountered in one's life (favorable or otherwise); stroke of luck; opportunity
障壁,zhang4bi4,barrier
障眼,zhang4yan3,to hinder the eyesight; (fig.) to trick into not noticing; to blindfold
障碍,zhang4ai4,barrier; obstruction; hindrance; impediment; obstacle
障蔽,zhang4bi4,to obstruct
隧洞,sui4dong4,tunnel
随之,sui2zhi1,thereupon; subsequently; accordingly
随伴,sui2ban4,to accompany
随俗,sui2su2,according to custom; to do as local custom requires; do as the romans do
随信,sui2xin4,attached with the letter
随口,sui2kou3,(speak) without thinking the matter through
随同,sui2tong2,accompanying
随和,sui2he2,amiable; easygoing
随员,sui2yuan2,attendant
随喜,sui2xi3,to join in charitable deeds; to tour temples
随地,sui2di4,according to the location; everywhere; any place; from any location; from wherever you like
随州,sui2zhou1,"suizhou, prefecture-level city in hubei"
随带,sui2dai4,to carry along; portable
随从,sui2cong2,to accompany; to follow; to attend; entourage; attendant
随心,sui2xin1,to fulfill one's desire; to find sth satisfactory
随性,sui2xing4,casual; laid-back; doing as one pleases
随想,sui2xiang3,random thoughts; (in book titles etc) impressions; jottings
随感,sui2gan3,random thoughts; impressions
随波,sui2bo1,to drift with the waves
随笔,sui2bi3,essay
随处,sui2chu4,everywhere; anywhere
随行,sui2xing2,to accompany
随访,sui2fang3,"to accompany; (of a doctor etc) to do a follow-up (on a patient, client etc)"
随顺,sui2shun4,to follow; to go along with
随风,sui2feng1,wind-borne; tossed about by the wind
险些,xian3xie1,narrowly; almost; nearly
险兆,xian3zhao4,evil omen
险胜,xian3sheng4,to win by a narrow margin; to barely win; narrow victory
险固,xian3gu4,"(of terrain) rugged, providing a natural barrier to invasion"
险境,xian3jing4,critical circumstances; risky conditions; danger zone
险峰,xian3feng1,perilous peak; the lofty heights
险峻,xian3jun4,arduous; steep
险情,xian3qing2,peril; dangerous circumstance
险恶,xian3e4,dangerous; sinister; vicious
险滩,xian3tan1,shoals; rapids; treacherous section of a river
险球,xian3qiu2,"dangerous ball (in soccer, volleyball etc)"
险症,xian3zheng4,critical illness
险种,xian3zhong3,insurance type
险要,xian3yao4,strategically situated and easy to defend; strategic location
险诈,xian3zha4,sinister and deceitful
险阻,xian3zu3,dangerous and difficult (path)
𬯀,ji1,to go up; to fall; rainbow; mist
隐事,yin3shi4,a secret
隐伏,yin3fu2,to hide; to lie low
隐位,yin3wei4,"cryptic epitope (immunology, a protein component that becomes effective when activated by antigen)"
隐修,yin3xiu1,monasticism
隐匿,yin3ni4,to cover up; to hide; to conceal
隐去,yin3qu4,to disappear; to hide
隐含,yin3han2,to contain in a concealed form; to keep covered up; implicit
隐喻,yin3yu4,metaphor
隐土,yin3tu3,legendary land of hermits; secret land; the back of beyond
隐士,yin3shi4,hermit
隐密,yin3mi4,secret; hidden
隐射,yin3she4,(to fire) innuendo; to insinuate
隐居,yin3ju1,to live in seclusion
隐忍,yin3ren3,to bear patiently; to endure silently; to forbear
隐意,yin3yi4,implied meaning
隐忧,yin3you1,secret concern; private worry
隐映,yin3ying4,to set off one another
隐晦,yin3hui4,vague; ambiguous; veiled; obscure
隐没,yin3mo4,to vanish gradually; to disappear; to fade out
隐灭,yin3mie4,to fade away; to vanish; to disappear
隐潭,yin3tan2,hidden pond or pool
隐然,yin3ran2,a feint; a hidden way of doing sth
隐燃,yin3ran2,burning with no flame; fire beneath the surface; hidden combustion
隐现,yin3xian4,glimpse (of something hidden)
隐疾,yin3ji2,an unmentionable illness (e.g. venereal disease)
隐痛,yin3tong4,hidden anguish; secret suffering; (medicine) dull pain
隐睾,yin3gao1,cryptorchidism; undescended testis
隐秘,yin3mi4,secret; hidden
隐色,yin3se4,protective coloration (esp. of insects); camouflage
隐血,yin3xue4,"occult blood (in medicine, fecal blood from internal bleeding)"
隐衷,yin3zhong1,a secret; sth best not told to anyone; confidential information
隐袭,yin3xi2,insidious
隐语,yin3yu3,secret language; codeword
隐讳,yin3hui4,to hold back from saying precisely what is on one's mind
隐迹,yin3ji4,hidden tracks
隐退,yin3tui4,"to retire (from society, esp. from politics); to vanish"
隐逸,yin3yi4,to live in seclusion; reclusive; hermit; recluse
隐遁,yin3dun4,to hide (from the world)
隐避,yin3bi4,to hide; to conceal and avoid (contact); to keep sth concealed
隐隐,yin3yin3,faint; indistinct
隐显,yin3xian3,appearing and disappearing; dimly visible; intermittent; implicit (but not clearly present)
隐颧,yin3quan2,a skull with sunken cheek bone; cryptozygous
隐饰,yin3shi4,a cover-up
隐龟,yin3gui1,mary river turtle (elusor macrurus)
陇南,long3nan2,longnan prefecture-level city in south gansu
陇海,long3hai3,jiangsu-gansu railway
隶圉,li4yu3,servants; underlings
隶属,li4shu3,to belong to (a category); to be attached to
隶书,li4shu1,clerical script; official script (chinese calligraphic style)
只身,zhi1shen1,alone; by oneself
雀噪,que4zao4,to be a noise in the world; to acquire notoriety
雀子,qiao1zi5,a freckle; lentigo
雀斑,que4ban1,freckles
雀盲,que4mang2,night blindness
雀跃,que4yue4,excited; in high spirits
雀类,que4lei4,finch (family fringillidae)
雀鸟,que4niao3,bird
雁荡,yan4dang4,"yandang mountains, famous scenic area in southeast zhejiang"
雄健,xiong2jian4,vigorous; robust; powerful
雄图,xiong2tu2,grandiose plan; great ambition
雄壮,xiong2zhuang4,majestic; awesome; full of power and grandeur
雄安,xiong2an1,"xiong'an new area, a state-level new area in the baoding area of hebei, established in 2017"
雄心,xiong2xin1,great ambition; lofty aspiration
雄性,xiong2xing4,male
雄浑,xiong2hun2,vigorous; firm; forceful
雄狮,xiong2shi1,male lion
雄兽,xiong2shou4,male animal
雄蕊,xiong2rui3,stamen (male part of flower)
雄蜂,xiong2feng1,drone (bee)
雄猫,xiong2mao1,f-14 tomcat
雄起,xiong2qi3,(cry of encouragement); to arise; to stand up; to gain the ascendancy
雄踞,xiong2ju4,to be perched high; to be located prominently; to be preeminent
雄辩,xiong2bian4,eloquent; oratory; rhetoric
雄长,xiong2zhang3,fierce and ambitious character; formidable person
雄鸡,xiong2ji1,rooster
雄风,xiong2feng1,vigor; virility; dynamism; (literary) powerful wind
雄马,xiong2ma3,male horse; stallion
雄体,xiong2ti3,male of a species
雄鹰,xiong2ying1,male eagle; tercel (male falcon used in falconry)
雄鹿,xiong2lu4,milwaukee bucks (nba team); buck; stag
雄黄,xiong2huang2,realgar; red orpiment
雅事,ya3shi4,"refined activities of the intellectuals (regarding literature, paintings etc)"
雅人,ya3ren2,poetic individual; person of refined temperament
雅什,ya3shi2,fine verse
雅克,ya3ke4,jacques (name)
雅典,ya3dian3,"athens, capital of greece"
雅司,ya3si1,yaws (infectious tropical disease)
雅各,ya3ge4,jacob (name); james (name)
雅士,ya3shi4,elegant scholar
雅威,ya3wei1,yahweh
雅安,ya3an1,"ya'an, prefecture-level city in sichuan"
雅座,ya3zuo4,(restaurant etc) private room; booth; comfortable seating
雅思,ya3si1,ielts (international english language testing system)
雅意,ya3yi4,your kind offer; your valued advice; delicate interest and charm
雅爱,ya3ai4,(hon.) your great kindness
雅怀,ya3huai2,refined feelings; distinguished emotions
雅房,ya3fang2,bedsit
雅故,ya3gu4,old friend; correct interpretation
雅教,ya3jiao4,(hon.) your distinguished thoughts; thank you (for your esteemed contribution to our discussion).
雅望,ya3wang4,(literary) spotless reputation
雅乐,ya3yue4,formal ceremonial music of each succeeding chinese dynasty starting with the zhou
雅歌,ya3ge1,a song; a poem set to elegant music; a refined chant; the biblical song of solomon
雅正,ya3zheng4,correct (literary); upright; (hon.) please point out my shortcomings.; i await your esteemed corrections.
雅气,ya3qi4,elegance
雅法,ya3fa3,jaffa (israeli port)
雅淡,ya3dan4,simple and elegant
雅洁,ya3jie2,elegant and pure
雅玩,ya3wan2,elegant pastime; refined plaything
雅皮,ya3pi2,yuppie (loanword)
雅相,ya3xiang4,elegant appearance; dignity
雅称,ya3cheng1,elegant name; honorific
雅致,ya3zhi4,elegant; refined; in good taste
雅兴,ya3xing4,refined and elegant attitude of mind
雅芳,ya3fang1,avon (cosmetics company)
雅虎,ya3hu3,"yahoo, internet portal"
雅号,ya3hao4,refined appelation; (humor) sb's elegant monicker; (hon.) your esteemed name
雅观,ya3guan1,elegant and tasteful
雅言,ya3yan2,valued advice
雅趣,ya3qu4,elegant; refined; delicate and charming
雅量,ya3liang4,magnanimity; tolerance; high capacity for drinking
雅间,ya3jian1,"private room (in a restaurant, bath house, etc)"
雅集,ya3ji2,distinguished assembly (of scholars)
雅静,ya3jing4,elegant and calm; gentle; quiet
雅饬,ya3chi4,elegant orderliness; poise
雅驯,ya3xun4,refined (of writing)
雅丽,ya3li4,elegant; refined beauty
集刊,ji2kan1,collection of papers (published as one volume)
集子,ji2zi5,anthology; selected writing
集居,ji2ju1,community; living together
集市,ji2shi4,market; bazaar; fair
集成,ji2cheng2,integrated (as in integrated circuit)
集拢,ji2long3,to gather; to assemble
集散,ji2san4,to collect for distribution
集料,ji2liao4,aggregate; material gathered together; conglomerate (rocks)
集材,ji2cai2,logging
集束,ji2shu4,to cluster
集权,ji2quan2,"centralized power (history), e.g. under an emperor or party"
集注,ji2zhu4,to focus; to concentrate on
集管,ji2guan3,header (of piping system)
集约,ji2yue1,intensive
集纳,ji2na4,to collect; to gather together
集群,ji2qun2,clan; to clan together; to flock together
集聚,ji2ju4,to assemble; to gather
集萃,ji2cui4,treasury
集训,ji2xun4,to train together; to practice as a group
集贸,ji2mao4,market; trade
集运,ji2yun4,cooperative transport; concentrated freight
集部,ji2bu4,non-canonical text; chinese literary work not included in official classics; apocryphal
集锦,ji2jin3,best of the best; collection of the best (of sth)
集镇,ji2zhen4,town
集韵,ji2yun4,"jiyun, chinese rime dictionary with 53,525 single-character entries, published in 11th century"
集餐,ji2can1,to eat from a common pot; communal cafeteria
隽品,juan4pin3,outstanding work
隽妙,juan4miao4,extremely elegant
隽拔,juan4ba2,handsome (of people); graceful (of calligraphy)
隽敏,juan4min3,refined and smart
隽材,juan4cai2,talent
隽楚,juan4chu3,outstanding; extraordinary; preeminent
隽永,juan4yong3,meaningful; thought-provoking; significant
隽茂,juan4mao4,outstanding talent
隽语,juan4yu3,epigram; meaningful or significant speech
隽誉,jun4yu4,high fame
雌性,ci2xing4,female
雌狮,ci2shi1,lioness
雌蕊,ci2rui3,pistil
雌雄,ci2xiong2,male and female
雌体,ci2ti3,female of a species
雌鹿,ci2lu4,doe
雌黄,ci2huang2,orpiment; arsenic trisulfide as2s3; make changes in writing; malign; criticize without grounds
雍和,yong1he2,harmony
雍容,yong1rong2,natural; graceful; and poised
雍睦,yong1mu4,harmonious; friendly
雍重,yong1zhong4,cumbersome
雍阏,yong1e4,to block; to stop up; to obstruct
雍雍,yong1yong1,harmonious; peaceful
雕像,diao1xiang4,sculpture; (carved) statue
雕漆,diao1qi1,carved lacquerware
雕版,diao1ban3,a carved printing block
雕琢,diao1zhuo2,to sculpt; to carve (jade); ornate artwork; overly elaborate prose
雕花,diao1hua1,carving; decorative carved pattern; arabesque
雕镌,diao1juan1,to engrave (wood or stone); to carve
雕阑,diao1lan2,carved railings
雕饰,diao1shi4,to carve; to decorate; carved; decorated
虽则,sui1ze2,nevertheless; although
虽是,sui1shi4,although; even though; even if
双乳,shuang1ru3,breasts
双人,shuang1ren2,two-person; double; pair; tandem
双倍,shuang1bei4,twofold; double
双侧,shuang1ce4,two-sided; bilateral
双刃,shuang1ren4,double-edged blade
双喜,shuang1xi3,double happiness
双套,shuang1tao4,double set; diploid
双子,shuang1zi3,gemini (star sign)
双射,shuang1she4,bijection (math.)
双层,shuang1ceng2,double tier; double decker
双峰,shuang1feng1,boobies
双抽,shuang1chou1,black soy sauce
双拐,shuang1guai3,crutches
双拼,shuang1pin1,"(computing) double pinyin (input method where the user types no more than two keystrokes per character, one for the initial and one for the final)"
双击,shuang1ji1,double-click
双摆,shuang1bai3,double pendulum (math.)
双数,shuang1shu4,even number
双旦,shuang1dan4,christmas and new year's day
双星,shuang1xing1,double star
双曲,shuang1qu1,hyperbola; hyperbolic (function)
双核,shuang1he2,dual core (computing)
双极,shuang1ji2,bipolar
双杠,shuang1gang4,parallel bars (gymnastics event)
双桥,shuang1qiao2,"shuangqia suburban district of chongqing municipality, formerly in sichuan"
双流,shuang1liu2,chengdu's main airport
双减,shuang1jian3,"(prc) double reduction policy, announced in 2021, aiming to ease pressure on k-12 students by reducing homework and banning for-profit after-school academic classes"
双湖,shuang1hu2,two lakes
双独,shuang1du2,double and single; allowed dispensation to have second child
双生,shuang1sheng1,twin (attributive); twins
双盲,shuang1mang2,double-blind (scientific experiment)
双眸,shuang1mou2,one's pair of eyes
双眼,shuang1yan3,the two eyes
双程,shuang1cheng2,return-trip; two-way; bidirectional; double-pass
双稳,shuang1wen3,bistable
双管,shuang1guan3,double-barreled
双节,shuang1jie2,binodal; two-section
双簧,shuang1huang2,"a form of theatrical double act in which one performer speaks or sings while the other, in front, pretends to be doing the speaking or singing; double reed (as in an oboe or bassoon)"
双糖,shuang1tang2,disaccharide
双脚,shuang1jiao3,two legs; both feet
双腿,shuang1tui3,legs; both legs; two legs
双膝,shuang1xi1,both knees
双臂,shuang1bi4,arms; both arms; two arms
双号,shuang1hao4,"even number (on a ticket, house etc)"
双规,shuang1gui1,"shuanggui, an extralegal system within the ccp for detaining and interrogating cadres who fall from grace"
双亲,shuang1qin1,parents
双语,shuang1yu3,bilingual
双误,shuang1wu4,double fault (in tennis)
双赢,shuang1ying2,profitable to both sides; a win-win situation
双足,shuang1zu2,both feet; two-legged
双轨,shuang1gui3,double-track; parallel tracks; dual-track (system)
双输,shuang1shu1,lose-lose (situation); (of the two sides involved) to both be disadvantaged
双键,shuang1jian4,double bond (chemistry)
双链,shuang1lian4,double stranded
双关,shuang1guan1,pun; play on words
双非,shuang1fei1,a couple where both spouses are not hong kong citizens
双面,shuang1mian4,double-sided; two-faced; double-edged; reversible
双飞,shuang1fei1,flying in pairs; close union as husband and wife; round-trip flight; (slang) threesome
双鱼,shuang1yu2,pisces (star sign)
雚菌,huan2jun1,"a type of poisonous fungus that grows on reeds, used in chinese medicine to help cure patients suffering from ascaris (parasitic worms)"
雏儿,chu2er2,newly hatched bird; fig. inexperienced person; fig. chick (slighting term for young woman); bimbo
雏型,chu2xing2,model
雏妓,chu2ji4,underage prostitute
雏形,chu2xing2,embryonic form; fledgling stage; prototype
雏燕,chu2yan4,swallow chick
雏菊,chu2ju2,daisy
雏鸡,chu2ji1,chick; newly hatched chicken
雏凤,chu2feng4,lit. phoenix in embryo; fig. young talent; budding genius
雏鸽,chu2ge1,squab; nestling pigeon
杂乱,za2luan4,in a mess; in a jumble; chaotic
杂事,za2shi4,miscellaneous tasks; various chores
杂件,za2jian4,miscellaneous goods
杂剧,za2ju4,a yuan dynasty form of musical comedy
杂务,za2wu4,various jobs; low-grade work
杂噪,za2zao4,a clamor; a din
杂婚,za2hun1,mixed marriage
杂居,za2ju1,cohabitation (of different populations or races); to coexist
杂工,za2gong1,unskilled worker
杂店,za2dian4,convenience store; variety store
杂役,za2yi4,odd jobs; part-time worker
杂念,za2nian4,distracting thoughts
杂感,za2gan3,random thoughts (a literary genre)
杂戏,za2xi4,acrobatics; entertainment at folk festival
杂拌,za2ban4,assortment of preserved fruits; (fig.) hodgepodge
杂文,za2wen2,essay
杂沓,za2ta4,small craftsman (contemptuous); clatter (e.g. of footsteps); jumbled mass; press of bodies; tumult
杂活,za2huo2,odd jobs
杂流,za2liu2,small craftsman (contemptuous)
杂凑,za2cou4,to put together various bits; to knock sth together; hash (computing)
杂烩,za2hui4,a stew; fig. a disparate collection
杂牌,za2pai2,inferior brand; not the genuine article
杂物,za2wu4,junk; items of no value; various bits and bobs
杂环,za2huan2,heterocyclic (chemistry)
杂碎,za2sui5,offal; cooked minced offal; chop suey (american chinese dish); incoherent (information); (derog.) asshat; jerk
杂税,za2shui4,miscellaneous duties; various taxes
杂种,za2zhong3,hybrid; mixed breed; bastard; son of a bitch
杂糅,za2rou2,a blend; a mix
杂粮,za2liang2,grain crops other than rice and wheat
杂耍,za2shua3,a sideshow; vaudeville; juggling
杂色,za2se4,varicolored; motley
杂草,za2cao3,weeds
杂处,za2chu3,(of disparate elements) to mix in with one another; (of diverse groups of people) to live in the same area; to coexist
杂记,za2ji4,various notes or records; a miscellany; scattered jottings
杂说,za2shuo1,scattered essays; various opinions; different manners of speaking
杂谈,za2tan2,discussion of various topics
杂货,za2huo4,groceries; miscellaneous goods
杂费,za2fei4,incidental costs; sundries; extras
杂质,za2zhi4,impurity
杂配,za2pei4,to mix; to hybridize
杂录,za2lu4,literary miscellany; varia
杂集,za2ji2,a miscellany; a potpourri
杂音,za2yin1,noise
杂项,za2xiang4,miscellaneous
杂食,za2shi2,omnivorous (zoology); snacks; a varied diet
杂盐,za2yan2,carnallite (hydrated potassium magnesium chloride mineral)
鸡丁,ji1ding1,diced chicken meat
鸡冠,ji1guan1,crest; cockscomb
鸡冻,ji1dong4,chicken jelly
鸡块,ji1kuai4,chicken nugget; chicken piece
鸡奸,ji1jian1,sodomy; anal intercourse; buggery
鸡娃,ji1wa2,chick; (neologism c. 2020) to arrange a daily regimen of activities for one's child; a child whose life is regimented this way
鸡婆,ji1po2,(dialect) hen; prostitute; nosy
鸡巴,ji1ba5,dick; penis (vulgar)
鸡年,ji1nian2,year of the cock (e.g. 2005)
鸡排,ji1pai2,chicken breast; chicken cutlet
鸡掰,ji1bai1,(slang) to fuck around with; (used as an intensifier) fucking; fucked up
鸡枞,ji1zong1,"macrolepiota, mushroom native to yunnan province"
鸡毛,ji1mao2,chicken feather; trivial
鸡汤,ji1tang1,chicken stock; chicken soup
鸡珍,ji1zhen1,chicken gizzard (cuisine)
鸡眼,ji1yan3,corn (callus on the foot)
鸡窝,ji1wo1,chicken coop
鸡精,ji1jing1,chicken bouillon powder (prc)
鸡肉,ji1rou4,chicken meat
鸡肋,ji1lei4,chicken ribs; sth of little value or interest; sth of dubious worth that one is reluctant to give up; to be physically weak
鸡脚,ji1jiao3,chicken feet
鸡腿,ji1tui3,chicken leg; drumstick
鸡贼,ji1zei2,(dialect) stingy; miserly; crafty; cunning
鸡鸡,ji1ji1,penis (childish)
鸡鹜,ji1wu4,petty or mean persons
离世,li2shi4,to pass away; death
离乳,li2ru3,to be weaned; weaning
离乱,li2luan4,social upheaval caused by war or famine etc
离任,li2ren4,to leave office; to leave one's post
离休,li2xiu1,to retire; to leave work and rest (euphemism for compulsory retirement of old cadres)
离别,li2bie2,to leave (on a long journey); to part from sb
离去,li2qu4,to leave; to exit
离合,li2he2,clutch (in car gearbox); separation and reunion
离子,li2zi3,ion
离宫,li2gong1,detached palace; imperial villa
离岸,li2an4,offshore
离岛,li2dao3,outlying islands
离心,li2xin1,to be at odds with; centrifugal (force)
离愁,li2chou2,parting sorrow; pain of separation
离散,li2san4,(of family members) separated from one another; scattered about; dispersed; (math.) discrete
离弃,li2qi4,to abandon
离歌,li2ge1,(sad) farewell song
离港,li2gang3,to leave harbor; departure (at airport)
离独,li2du2,to be divorced
离异,li2yi4,to divorce
离索,li2suo3,(literary) desolate and lonely
离线,li2xian4,offline (computing)
离谱,li2pu3,excessive; beyond reasonable limits; irregular
离贰,li2er4,to defect; to be disloyal
离间,li2jian4,"to drive a wedge between (allies, partners etc)"
离队,li2dui4,to leave one's post
离题,li2ti2,to digress; to stray from the subject
难住,nan2zhu4,to baffle; to stump
难保,nan2bao3,hard to say; can't guarantee; difficult to protect; difficult to preserve
难倒,nan2dao3,to baffle; to confound; to stump
难吃,nan2chi1,unpalatable
难喝,nan2he1,unpleasant to drink
难弹,nan2tan2,hard to play (of music for stringed instrument)
难懂,nan2dong3,difficult to understand
难捱,nan2ai2,trying; difficult
难搞,nan2gao3,hard to deal with; hard to get along with
难易,nan2yi4,difficulty; degree of difficulty or ease
难民,nan4min2,refugee
难测,nan2ce4,hard to fathom
难为,nan2wei5,"to bother; to press sb, usu. to do sth; it's a tough job; sorry to bother you (polite, used to thank sb for a favor)"
难熬,nan2ao2,"hard to bear; unendurable (pain, suffering)"
难产,nan2chan3,difficult birth; (fig.) difficult to achieve
难当,nan2dang1,"hard to endure (hot weather, itchiness etc)"
难经,nan4jing1,"classic on medical problems, c. 1st century ad"
难缠,nan2chan2,(usu. of people) difficult; demanding; troublesome; unreasonable; hard to deal with
难闻,nan2wen2,unpleasant smell; stink
难行,nan2xing2,hard to pass
难解,nan2jie3,hard to solve; hard to dispel; hard to understand; hard to undo
难记,nan2ji4,hard to remember
难走,nan2zou3,hard to get to; difficult to travel (i.e. the road is bad)
雨人,yu3ren2,rain man
雨伞,yu3san3,umbrella
雨具,yu3ju4,rainwear
雨凇,yu3song1,frost; a patina of ice from freezing rain or water vapor
雨刮,yu3gua1,windshield wiper
雨刷,yu3shua1,windshield wiper
雨天,yu3tian1,rainy day; rainy weather
雨季,yu3ji4,rainy season
雨布,yu3bu4,rain tarp
雨幕,yu3mu4,curtain of rain; downpour
雨搭,yu3da1,awning
雨林,yu3lin2,rainforest
雨果,yu3guo3,hugo (name)
雨棚,yu3peng2,awning
雨滴,yu3di1,raindrop
雨漏,yu3lou4,gargoyle (architecture)
雨燕,yu3yan4,swift; apodidae (the swift family)
雨丝,yu3si1,drizzle; fine rain
雨蛙,yu3wa1,rain frog
雨蚀,yu3shi2,rain erosion
雨量,yu3liang4,rainfall
雨露,yu3lu4,rain and dew; (fig.) favor; grace
雨靴,yu3xue1,rain boots; rubber boots
雨点,yu3dian3,raindrop
雪亮,xue3liang4,lit. bright as snow; shiny; dazzling; sharp (of eyes)
雪人,xue3ren2,snowman; yeti
雪仗,xue3zhang4,snow fight; snowball fight
雪克,xue3ke4,(milk)shake (loanword)
雪城,xue3cheng2,"syracuse, new york"
雪套,xue3tao4,gaiters
雪峰,xue3feng1,snowy peak
雪崩,xue3beng1,avalanche
雪耻,xue3chi3,to take revenge for a past insult; to expunge a disgrace or humiliation
雪暴,xue3bao4,blizzard; snowstorm
雪松,xue3song1,cedar tree; cedarwood
雪板,xue3ban3,snowboard; to snowboard
雪条,xue3tiao2,ice lolly; popsicle
雪梨,xue3li2,snow pear (pyrus nivalis)
雪橇,xue3qiao1,sled; sledge; sleigh; bobsled
雪柜,xue3gui4,icebox; refrigerator (hong kong usage)
雪泥,xue3ni2,dirty snow; slush
雪片,xue3pian4,snowflake
雪球,xue3qiu2,snowball
雪白,xue3bai2,snow white
雪碧,xue3bi4,sprite (soft drink)
雪种,xue3zhong3,refrigerant
雪纺,xue3fang3,chiffon (loanword)
