我 wo3  "戈 ge1, 弋 yi4" 0 "我们 我国 自我 我方" "我 wo3 i; me; my
我们 wo3men5 we; us; ourselves; our
瓤 rang2 瀼蘘穰禳儴 "襄 xiang1, 瓜 gua1, 亠 tou2, 口 kou3, 井 jing3, 廾 gong3, 十 shi2, 厶 si1" 4590  "瓤 rang2 pulp (of fruit); sth inside a covering; bad; weak"
钋 po1 䥽颇酦泼坡 "钅 jin1, 卜 bu3, 𠂉 jiu3, 二 er4" 4591  "钋 po1 polonium (chemistry)"
韶 shao2 芍柖玿勺苕 "音 yin1, 召 zhao4, 立 li4, 日 ri4, 亠 tou2, 囗 wei2, 刀 dao1, 口 kou3" 4592 韶关 "韶 shao2 (music); excellent; harmonious
韶关 shao2guan1 shaoguan, prefecture-level city in guangdong"
噔 deng1 灯蹬登璒 "口 kou3, 登 deng1, 豆 dou4" 4593  "噔 deng1 thump"
怆 chuang4 创 "忄 xin1, 仓 cang1, 人 ren2" 4594 悲怆 "怆 chuang4 mournful; sad; grieved; sorry
悲怆 bei1chuang4 sorrow; tragic"
锑 ti1 䴘擿踢梯䏲剔 "钅 jin1, 弟 di4, 𠂉 jiu3, 二 er4, 弓 gong1" 4595  "锑 ti1 antimony (chemistry)"
龋 qu3 曲娶取竘 "齿 chi3, 禹 yu3, 止 zhi3, 凵 kan3, 人 ren2" 4596  "龋 qu3 decayed teeth; dental caries"
弋 yi4 悒瘗易𬟁异艺忆癔亿抑译谊熠螠奕弈毅绎裛义翳𫄷亦乂  4597 游弋 "弋 yi4 to shoot
游弋 you2yi4 (of a naval vessel) to cruise; to patrol; (of ducks, boats etc) to move about on a lake or river etc"
镂 lou4 漏陋瘘 "钅 jin1, 娄 lou2, 𠂉 jiu3, 二 er4, 米 mi3, 女 nü3, 木 mu4, 十 shi2" 4598 镂空 "镂 lou4 to engrave; to carve; hard steel
镂空 lou4kong1 openwork; fretwork"
懑 men4 闷焖呇 "满 man3, 心 xin1, 氵 shui3, 𬜯 liang3, ㇀ ti2, 艹 cao3, 两 liang3, 十 shi2, 从 cong2, 人 ren2" 4599 愤懑 "懑 men4 melancholy
愤懑 fen4men4 depressed; resentful; discontented; indignant; perturbed"
棠 tang2 塘螳樘䣘瑭溏搪膛唐鄌螗糖堂 "木 mu4, 口 kou3, 冖 mi4, 十 shi2" 4600 海棠 "棠 tang2 cherry-apple
海棠 hai3tang2 chinese flowering crab apple (malus spectabilis)"
婀 e1 屙 "女 nü3, 阿 a1, 可 ke3, 丁 ding1, 口 kou3" 4601 婀娜 "婀 e1 graceful; willowy; unstable
婀娜 e1nuo2 (of a woman's bearing) graceful; elegant; lithe"
鳀 ti2 𫘨醍缇题啼鹈提瑅遆㇀荑蹄 "鱼 yu2, 是 shi4, ⺈ yi4, 田 tian2, 囗 wei2, 十 shi2, 日 ri4, 人 ren2" 4602  "鳀 ti2 anchovy"
殇 shang1 熵伤商墒觞 "歹 dai3, 𠂉 jiu3, 夕 xi1" 4603  "殇 shang1 to die in childhood; war dead"
愫 su4 蹜鹔傃诉溯夙涑骕肃僳嗉素𫗧蔌谡塑粟宿觫簌速 "忄 xin1, 素 su4, 糸 mi4, 土 tu3, 十 shi2, 幺 yao1, 小 xiao3, 厶 si1, 八 ba1" 4604 情愫 "愫 su4 guileless; sincere
情愫 qing2su4 sentiment; feeling"
皋 gao1 高糕膏睾羔篙槔 "白 bai2, 日 ri4, 囗 wei2, 大 da4, 十 shi2, 人 ren2" 4605  "皋 gao1 bank; marsh; high riverbank"
矾 fan2 钒樊蹯燔繁氾𫔍墦璠𬸪凡烦蘩 "石 dan4, 凡 fan2, 口 kou3, 几 ji3" 4606  "矾 fan2 alum"
轭 e4 崿颚腭谔萼遏饿愕苊鳄扼恶锷垩姶呃堨鄂𥔲𫫇噩厄鹗 "车 che1, 厄 e4, 十 shi2, 厂 chang3" 4607  "轭 e4 to restrain; to yoke"
僭 jian4 𬣡件建践键渐健贱荐箭毽槛溅舰饯腱见踺涧谏鉴剑牮楗 "朁 can3, 曰 yue1, 囗 wei2" 4608  "僭 jian4 (bound form) to overstep one's authority"
黜 chu4 触斶俶怵亍矗畜憷处绌搐琡 "黑 hei1, 出 chu1, 土 tu3, 口 kou3, 灬 huo3, 十 shi2, 屮 che4, 凵 kan3" 4609  "黜 chu4 to dismiss from office; to expel"
萩 qiu1 鹙邱秋鞧楸丘鳅蚯 "艹 cao3, 秋 qiu1, 十 shi2, 禾 he2, 火 huo3, 木 mu4, 人 ren2" 4610  "萩 qiu1 lespedeza bicolor"
髁 ke1 科颗柯棵嗑磕苛瞌坷珂蝌稞颏窠轲牁疴匼 "骨 gu3, 果 guo3, 冖 mi4, 日 ri4, 木 mu4, 囗 wei2, 十 shi2" 4611  "髁 ke1 condyles"
纭 yun2 沄郧妘昀涢耘匀筼云芸鋆 "纟 si1, 云 yun2, ㇀ ti2, 二 er4, 厶 si1" 4612 纷纭 "纭 yun2 confused; numerous
纷纭 fen1yun2 diverse and muddled; many and confused"
梏 gu4 鲴崮雇顾锢固故牿堌痼 "木 mu4, 告 gao4, 十 shi2, 口 kou3, 𠂉 jiu3" 4613 桎梏 "梏 gu4 braces (med.); fetters; manacles
桎梏 zhi4gu4 (literary) shackles"
熵 shang1 觞殇墒伤商 "火 huo3, 商 shang1, 人 ren2, 亠 tou2, 冏 jiong3, 八 ba1, 口 kou3" 4614  "熵 shang1 entropy (character created in 1923)"
竽 yu2 于狳余髃俞褕渔瑜妤畬盂禺渝愉愚欤隅娱揄觎玙嵛臾邘 "于 yu2, 𠂉 jiu3" 4615  
牍 du2 髑犊读渎椟黩毒独 "片 pian4, 卖 mai4, 十 shi2, 买 mai3, 头 tou2, 大 da4, 人 ren2" 4616 简牍 "牍 du2 documents
简牍 jian3du2 letter; correspondence; book; document"
忾 kai4 炌 "忄 xin1, 气 qi4, 𠂉 jiu3" 4617  "忾 kai4 anger"
飒 sa4 萨卅脎 "立 li4, 风 feng1, 亠 tou2" 4618 飒飒 "飒 sa4 sound of wind; valiant; melancholy
飒飒 sa4sa4 soughing; whistling or rushing sound (of the wind in trees, the sea etc)"
泱 yang1 殃秧鞅鸯咉央 "氵 shui3, 央 yang1, ㇀ ti2, 大 da4, 人 ren2" 4619  "泱 yang1 agitated (wind, cloud); boundless"
铩 sha1 沙砂莎裟纱杀鲨煞痧刹 "钅 jin1, 杀 sha1, 𠂉 jiu3, 二 er4, 小 xiao3, 八 ba1" 4620  "铩 sha1 spear; to cripple (literary)"
擞 sou3 嗾叟薮瞍 "扌 shou3, 数 shu4, ㇀ ti2, 娄 lou2, 攵 pu1, 米 mi3, 女 nü3, 木 mu4, 十 shi2, 𠂉 jiu3, 乂 yi4" 4621 抖擞 "擞 sou3 shake; trembling
抖擞 dou3sou3 to rouse; to invigorate; to enliven; to put sb into high spirits; con brio"
胝 zhi1 禔脂𦭜支蜘汁祗吱栀知织之榰泜枝稙卮芝肢 "月 yue4, 氐 di3, 氏 shi4" 4622  
羸 lei2 擂嫘檑雷礌缧罍镭 "月 yue4, 羊 yang2, 凡 fan2, 亡 wang2, 口 kou3, 亠 tou2, 二 er4, 几 ji3" 4623  "羸 lei2 entangled; lean"
菰 gu1 蓇呱轱姑孤酤估辜菇咕箍鸪蛄沽觚 "艹 cao3, 孤 gu1, 十 shi2, 子 zi5, 瓜 gua1, 了 le5, 厶 si1" 4624  
姣 jiao1 跤峧蕉骄娇郊浇鹪交焦蛟僬胶燋艽䴔礁鲛茭椒 "女 nü3, 交 jiao1, 亠 tou2, 父 fu4, 八 ba1, 乂 yi4" 4625  "姣 jiao1 cunning; pretty"
蜱 pi2 铍罴陴鲏毗郫貔疲鼙啤枇琵陂皮蚍脾 "虫 chong2, 卑 bei1, 中 zhong1, ㇀ ti2, 口 kou3, 白 bai2, 十 shi2, 日 ri4, 囗 wei2" 4626  "蜱 pi2 tick (zoology)"
徇 xun4 训驯汛巽噀蕈讯殉逊迅 "彳 chi4, 旬 xun2, 日 ri4, 囗 wei2" 4627  "徇 xun4 to give in to; to be swayed by (personal considerations etc); to follow; to expose publicly"
阖 he2 禾颌盍河合曷鹖鞨盒菏盉龢𬌗龁郃和阂饸纥荷涸翮何劾 "门 men2, 盍 he2, 去 qu4, 皿 min3, 土 tu3, 厶 si1, 十 shi2" 4628  "阖 he2 door; to close; whole"
胥 xu1 需吁顼嘘墟媭须𬣙盱虚魆旴谞欻𦈡 "疋 shu1, 月 yue4, 人 ren2" 4629  "胥 xu1 all; assist; to store"
罅 xia4 吓下夏 "缶 fou3, 虖 hu1, 午 wu3, 凵 kan3, 𠂉 jiu3, 十 shi2, 虍 hu1, 乎 hu1, 七 qi1, ㇀ ti2" 4630  "罅 xia4 crack; grudge"
胼 pian2 骈㛹楩蹁 "月 yue4, 并 bing4, 开 kai1, 廾 gong3, 十 shi2" 4631  
闰 run4 润 "门 men2, 王 wang2, 土 tu3, 十 shi2" 4632  "闰 run4 intercalary; an extra day or month inserted into the lunar or solar calendar (such as february 29)"
珞 luo4 荦洛泺骆摞漯雒落络 "各 ge4, 十 shi2, ㇀ ti2, 口 kou3" 4633  "珞 luo4 neck-ornament"
豉 chi3 齿侈褫耻胣尺 "豆 dou4, 支 zhi1, 口 kou3, 十 shi2, 又 you4" 4634  "豉 chi3 salted fermented beans"
鸾 luan2 娈挛銮脔孪滦峦栾 "鸟 niao3, 亠 tou2, 乌 wu1, 马 ma3" 4635  "鸾 luan2 mythical bird related to phoenix"
帼 guo2 虢馘𬇹国腘 "巾 jin1, 国 guo2, 囗 wei2, 玉 yu4, 土 tu3, 十 shi2" 4636 巾帼 "帼 guo2 cap worn by women; feminine
巾帼 jin1guo2 woman"
刎 wen3 稳吻紊 "勿 wu4, 刂 dao1" 4637  "刎 wen3 cut across (throat)"
惆 chou2 酬俦愁椆仇雠帱稠踌筹绸畴 "忄 xin1, 周 zhou1, 土 tu3, 口 kou3, 十 shi2" 4638 惆怅 "惆 chou2 forlorn; vexed; disappointed
惆怅 chou2chang4 melancholy; depression"
莆 pu2 仆穙蒱镤酺匍菩濮葡璞蒲墣 "艹 cao3, 甫 fu3, 十 shi2" 4639  "莆 pu2 place name"
骥 ji4 悸绩既惎记觊际寄髻罽继垍稷暨剂瀱𪟝跽洎祭冀霁荠济 "马 ma3, 冀 ji4, 北 bei3, ㇀ ti2, 匕 bi3, 田 tian2, 共 gong4, 囗 wei2, 十 shi2, 八 ba1, 卄 nian4" 4640  "骥 ji4 thoroughbred horse; refined and virtuous"
怵 chu4 琡黜矗处搐绌触斶亍憷俶畜 "忄 xin1" 4641  "怵 chu4 fearful; timid; to fear"
椽 chuan2 传船遄 "木 mu4, 彖 tuan4, 十 shi2" 4642  "椽 chuan2 beam; rafter; classifier for rooms"
荠 ji4 𪟝技骥瀱祭迹寂芰济继伎绩悸漈寄暨𬶨际鲚稷冀穄垍计 "艹 cao3, 齐 qi2, 十 shi2, 文 wen2, 亠 tou2, 乂 yi4" 4643  "荠 qi2 water chestnut"
捺 na4 衲乀娜纳钠呐那𦰡肭乁 "扌 shou3, 奈 nai4, ㇀ ti2, 大 da4, 示 shi4, 人 ren2, 二 er4, 小 xiao3, 八 ba1" 4644 按捺 "捺 na4 to press down firmly; to suppress
按捺 an4na4 to restrain; to control"
蒡 bang4 搒磅谤棒塝玤蚌镑傍 "艹 cao3, 旁 pang2, 十 shi2, 亠 tou2, 冖 mi4, 方 fang1, 万 wan4" 4645  "蒡 bang4 arctium lappa; great burdock"
寅 yin2 淫龂吟垠霪崟珢訚鄞狺硍银夤龈蟫嚚 "宀 mian2, 由 you2, 八 ba1, 冖 mi4, 日 ri4, 囗 wei2" 4646  "甲寅 jia3yin2 51st year a3 of the 60 year cycle, e.g. 1974 or 2034"
诏 zhao4 旐𬶐赵笊兆肇照罩召曌棹 "讠 yan2, 召 zhao4, 刀 dao1, 口 kou3" 4647 诏书 "诏 zhao4 imperial order
诏书 zhao4shu1 edict; written imperial order"
卞 bian4 汴遍便辨辩忭苄变昪𨚕辫抃弁 "亠 tou2, 卜 bu3" 4648  "卞 bian4 hurried"
砚 yan4 艳嬿晏谳滟彦咽酽赝焰谚焱雁觃掞餍唁宴厌堰验 "石 dan4, 见 jian4, 口 kou3, 儿 er2" 4649 砚台 "砚 yan4 ink-stone
砚台 yan4tai2 ink stone; ink slab"
蝻 nan3 腩赧 "虫 chong2, 南 nan2, 中 zhong1, ㇀ ti2, 口 kou3, 十 shi2, 干 gan4" 4650  "蝻 nan3 immature locusts"
徕 lai2 铼涞崃俫来莱梾 "彳 chi4, 来 lai2, 未 wei4, 木 mu4, 十 shi2" 4651  "招徕 zhao1lai2 to canvass (for customers); to solicit; to recruit"
蹴 cu4 醋猝蹙簇蔟促 "就 jiu4, 口 kou3, 止 zhi3, 京 jing1, 尤 you2, 亠 tou2, 小 xiao3, 八 ba1, 尢 wang1" 4652  "蹴 cu4 carefully; to kick; to tread on; to stamp"
佟 tong2 曈穜同童僮鲖峂潼彤瞳烔酮茼仝橦桐砼𦒍哃铜𫍣 "冬 dong1" 4653  
麓 lu4 璐僇陆𫘧漉录赂鹿鹭琭辘辂戮碌禄菉逯稑潞露勠绿箓路 "林 lin2, 鹿 lu4, 木 mu4, 十 shi2, 广 guang3, 比 bi3, 厂 chang3, 匕 bi3" 4654 山麓 "麓 lu4 foot of a hill
山麓 shan1lu4 foothills"
潞 lu4 箓璐戮禄鹿路辘稑簏录蕗露渌勠甪琭陆绿漉鹭逯麓碌僇 "氵 shui3, 路 lu4, ㇀ ti2, 各 ge4, 口 kou3, 止 zhi3" 4655  "潞 lu4 name of a river"
箐 qing4 綮庆罄碃磬 "青 qing1, 𠂉 jiu3, 月 yue4, 土 tu3, 十 shi2" 4656  "箐 qing4 to draw a bamboo bow or crossbow"
胄 zhou4 宙酎荮纣籀昼皱㤘咒绉骤㑇 "由 you2, 月 yue4, 日 ri4, 囗 wei2" 4657  "胄 zhou4 helmet; descendants"
蛟 jiao1 郊浇燋鲛蕉交娇胶跤䴔茭椒艽礁峧姣鹪僬骄焦 "虫 chong2, 交 jiao1, 中 zhong1, ㇀ ti2, 口 kou3, 亠 tou2, 父 fu4, 八 ba1, 乂 yi4" 4658 蛟龙 "蛟 jiao1 a legendary dragon with the ability to control rain and floods
蛟龙 jiao1long2 legendary dragon with the ability to control rain and floods"
纣 zhou4 㑇胄昼咒骤绉宙酎籀㤘荮皱 "纟 si1, 寸 cun4, ㇀ ti2" 4659  "纣 zhou4 crupper (harness strap running over a horse's hindquarters and under its tail)"
蹙 cu4 簇醋蔟促猝蹴 "戚 qi1, 足 zu2, 戊 wu4, 戈 ge1, 弋 yi4, 上 shang4, 小 xiao3, 八 ba1, 口 kou3, 人 ren2" 4660 蹙眉 "蹙 cu4 to knit (one's brows); wrinkled (of brows); to hesitate; distressed
蹙眉 cu4mei2 to frown"
埼 qi2 琪亓蕲琦𬨂颀骐跂俟圻锜崎愭棋䓫蛴旗祺𨙸畦芪奇耆萁 "土 tu3, 奇 ji1, 十 shi2, 大 da4, 可 ke3, 人 ren2, 丁 ding1, 口 kou3" 4661  "埼 qi2 headland"
脍 kuai4 侩快郐鲙块狯筷哙 "月 yue4, 会 hui4, 人 ren2, 云 yun2, 二 er4, 厶 si1" 4662  "脍 kuai4 chopped meat or fish"
轼 shi4 视媞势栻事室释世弑舐贳示铈侍䏡试誓仕螫饰氏襫市恃 "车 che1, 式 shi4, 十 shi2, 弋 yi4, 工 gong1" 4663  "轼 shi4 crossbar in carriage front"
跐 ci1 呲疵 "此 ci3, 口 kou3, 止 zhi3, 匕 bi3" 4664  
栎 li4 𫵷砾呖唳朸隶栗坜傈吏厉珕浰丽雳痢利篥猁溧粝力励𬍛 "木 mu4, 乐 le4, 十 shi2, 小 xiao3, 八 ba1" 4665  "栎 li4 oak; quercus serrata"
缬 xie2 邪协撷斜勰鞋谐携㙦胁偕挟 "纟 si1, 颉 jie2, ㇀ ti2, 吉 ji2, 页 ye4, 士 shi4, 口 kou3, 十 shi2, 贝 bei4, 人 ren2" 4666  "缬 xie2 knot; tie a knot"
聩 kui4 喟篑馈匮蒉愦溃愧 "耳 er3, 贵 gui4, 贝 bei4, 中 zhong1, 口 kou3, 人 ren2" 4667  "聩 kui4 born deaf; deaf; obtuse"
瘆 shen4 甚肾慎渗蜃胂椹 "疒 ne4, 参 can1, 广 guang3, ㇀ ti2, 厂 chang3, 厶 si1, 大 da4, 彡 shan1, 人 ren2" 4668  "瘆 shen4 to terrify"
邵 shao4 潲绍哨睄劭 "召 zhao4, 刀 dao1, 口 kou3" 4669 邵阳 "邵 shao4 place name
邵阳 shao4yang2 shaoyang, prefecture-level city in hunan"
呲 ci1 疵跐 "口 kou3, 此 ci3, 止 zhi3, 匕 bi3" 4670  "呲 ci1 (coll.) to scold; to rebuke"
哏 gen2  "口 kou3, 艮 gen3" 4671  "哏 gen2 funny; amusing; sth comical"
嘌 piao4 蔈票 "口 kou3, 票 piao4, 示 shi4, 二 er4, 小 xiao3, 八 ba1" 4672  "嘌 piao4 (literary) fast; speedy"
熹 xi1 睎悉鼷兮醯析谿吸浠觿釐巇穸嬉惜皙锡息俙汐螅饻肸犀 "喜 xi3, 灬 huo3, 口 kou3, 十 shi2, 豆 dou4" 4673  "熹 xi1 bright; warm"
肄 yi4 疫悒𬬩亦勚㑊埸镒𫄷裔劓峄燚羿乂薏忆逸奕螠怿⺈蜴诣 "聿 yu4, 匕 bi3, 矢 shi3, 𠂉 jiu3, 大 da4, 人 ren2, 二 er4, 十 shi2" 4674 肄业 "肄 yi4 to learn
肄业 yi4ye4 to attend (a school); to drop out (of college etc)"
尧 yao2 姚垚鳐媱瑶徭轺窑猺遥珧肴峣摇爻谣 "兀 wu4, 儿 er2" 4675  
偻 lou2 蝼楼𦝼娄髅剅蒌溇耧𪣻喽 "娄 lou2, 米 mi3, 女 nü3, 木 mu4, 十 shi2" 4676 佝偻 "偻 lou2 hunchback
佝偻 gou1lou2 stooped; crooked"
耆 qi2 鳍麒骑鲯骐埼崎棋琪𨙸䓫岐其颀琦锜萁齐圻奇蜞祇祺歧 "老 lao3, 日 ri4, 匕 bi3, 土 tu3, 十 shi2, 囗 wei2" 4677  "耆 qi2 man of sixty or seventy"
啻 chi4 叱赤傺炽斥瘛敕痓饬彳翅 "帝 di4, 口 kou3, 亠 tou2, 冖 mi4, 巾 jin1" 4678 不啻 "啻 chi4 (not) just
不啻 bu4chi4 just as; no less than; like (sth momentous); as good as; tantamount to"
廋 sou1 螋艘溲嗖飕锼蒐搜馊 "广 guang3, 叟 sou3, 厂 chang3, 又 you4" 4679  "廋 sou1 to search; be concealed"
袄 ao3 媪 "衤 yi1, 夭 yao1, 大 da4, 人 ren2" 4680 棉袄 "袄 ao3 coat; jacket; short and lined coat or robe
棉袄 mian2ao3 cotton-padded jacket"
埚 guo1 呙崞锅郭蝈聒 "土 tu3, 呙 wai1, 十 shi2, 口 kou3, 内 nei4, 人 ren2" 4681  "埚 guo1 crucible"
戍 shu4 漱束腧数𬬸竖庶澍述隃墅术恕沭树 "戊 wu4, 戈 ge1, 弋 yi4" 4682  "戍 shu4 garrison"
泾 jing1 鼱鲸菁晶睛腈䴖惊麖兢经猄粳精茎旌京荆 "氵 shui3, ㇀ ti2, 工 gong1" 4683  "泾 jing1 jing river"
鹞 yao4 耀曜钥崾要药靿 "䍃 yao2, 鸟 niao3, 缶 fou3, 午 wu3, 凵 kan3, 𠂉 jiu3, 十 shi2, 乌 wu1, 马 ma3" 4684  "鹞 yao4 sparrow hawk; accipiter nisus"
阙 que1 缺炔 "门 men2, 欠 qian4, 屮 che4, 凵 kan3, ⺈ yi4, 人 ren2" 4685  "阙 que1 mistake"
啫 zhe3 者褶赭锗 "口 kou3, 者 zhe3, 日 ri4, 土 tu3, 十 shi2, 囗 wei2" 4686  "啫 zhe3 particle used for interjection (cantonese)"
褡 da1 嗒耷𨱏哒搭 "衤 yi1, 艹 cao3, 合 he2, 十 shi2, 口 kou3, 人 ren2" 4687  "褡 da1 pouch; sleeveless jacket"
囵 lun2 轮沦𬬭仑伦 "囗 wei2, 仑 lun2, 人 ren2, 匕 bi3" 4688 囫囵 "囵 lun2 complete
囫囵 hu2lun2 complete; whole"
婫 kun1 髡堃锟琨焜醌鲲鹍昆坤裈 "女 nü3, 昆 kun1, 日 ri4, 比 bi3, 囗 wei2, 匕 bi3" 4689  
坳 ao4 拗奥薁懊澳岙骜隩鏊奡傲 "土 tu3, 幼 you4, 十 shi2, 幺 yao1, 力 li4, 厶 si1" 4690  "坳 ao4 depression; cavity; hollow"
鸪 gu1 沽估蛄姑觚箍轱酤咕蓇呱孤菇菰辜 "古 gu3, 鸟 niao3, 十 shi2, 口 kou3, 乌 wu1, 马 ma3" 4691 鹧鸪 "鸪 gu1 partridge; francolinus chinensis
鹧鸪 zhe4gu1 partridge"
掬 ju1 疽驹椐泃狙鞠居娵𬶋崌腒鞫琚岨趄锔雎拘裾砠苴 "扌 shou3, ㇀ ti2, 米 mi3, 木 mu4, 十 shi2" 4692  "掬 ju1 to hold in one's hands; classifier for a double handful"
篦 bi4 箅蓖毙毕哔避跸壁濞敝馝陛痹璧滗筚苾髀薜庇币皕嬖碧 "𠂉 jiu3, 囟 xin4, 比 bi3, 囗 wei2, 乂 yi4, 匕 bi3" 4693  "篦 bi4 fine-toothed comb; to comb"
鹧 zhe4 柘这蔗䗪浙 "庶 shu4, 鸟 niao3, 广 guang3, 廿 nian4, 灬 huo3, 厂 chang3, 卄 nian4, 十 shi2, 乌 wu1, 马 ma3" 4694 鹧鸪 "鹧 zhe4 partridge; francolinus chinensis
鹧鸪 zhe4gu1 partridge"
妪 yu4 裕芋浴遹彧豫鹆矞燠熨郁滪蓣聿玉驭悆欲誉蜮峪遇淯狱 "女 nü3, 区 qu1" 4695 老妪 "妪 yu4 old woman; to brood over; to protect
老妪 lao3yu4 old woman (formal writing)"
甾 zai1 栽灾哉 "田 tian2, 囗 wei2, 十 shi2" 4696  "甾 zai1 steroid nucleus"
鳎 ta3 塔獭 "鱼 yu2, ⺈ yi4, 田 tian2, 囗 wei2, 十 shi2, 日 ri4, 羽 yu3, 习 xi2, ㇀ ti2" 4697  "鳎 ta3 sole (fish)"
毖 bi4 婢闭狴咇壁箅币陛佖碧弊蔽庇哔痹弼璧愎蓖敝荜裨篦濞 "比 bi3, 必 bi4, 匕 bi3, 心 xin1" 4698  "毖 bi4 careful; to prevent"
坩 gan1 虷杆竿肝玕泔矸干甘疳柑酐苷尴 "土 tu3, 甘 gan1, 十 shi2, 廿 nian4, 卄 nian4" 4699  "坩 gan1 crucible"
袅 niao3 茑鸟 "鸟 niao3, 衣 yi1, 乌 wu1, 马 ma3, 亠 tou2" 4700 袅袅 "袅 niao3 delicate; graceful; delicate; graceful; delicate; graceful
袅袅 niao3niao3 rising in spirals"
伫 zhu4 住杼柷助翥筑柱纻蛀贮著铸箸炷注祝疰驻苎砫 "㝉 zhu4, 宀 mian2, 冖 mi4" 4701 伫立 "伫 zhu4 to stand for a long time; to wait; to look forward to; to accumulate
伫立 zhu4li4 to stand for a long time"
嵴 ji2 殛耤蕺疾姞堲集㴔伋蒺急戢及笈鹡棘吉籍瘠辑即嫉蹐楫 "山 shan1, 脊 ji3, 凵 kan3, 月 yue4" 4702  "嵴 ji2 ridge; crest; apex"
砟 zha3 鲊眨拃鲝 "石 dan4, 乍 zha4, 口 kou3, 𠂉 jiu3, 二 er4" 4703  "砟 zha3 fragments"
鳝 shan4 扇擅讪膳𫮃赡嬗墡疝善缮剡鄯嶦骟蟮汕 "鱼 yu2, 善 shan4, ⺈ yi4, 田 tian2, 囗 wei2, 十 shi2, 羊 yang2, 口 kou3, 二 er4" 4704 鳝鱼 "鳝 shan4 chinese yellow eel
鳝鱼 shan4yu2 eel"
嘁 qi1 欹栖沏期妻萋七欺戚漆蹊柒桤凄郪 "口 kou3, 戚 qi1, 戊 wu4, 戈 ge1, 弋 yi4, 上 shang4, 小 xiao3, 八 ba1" 4705  "嘁 qi1 whispering sound"
掼 guan4 爟灌惯贯罐鹳瓘毌涫祼盥 "扌 shou3, 贯 guan4, ㇀ ti2, 毌 guan4, 贝 bei4, 十 shi2, 人 ren2" 4706  "掼 guan4 to fling; to fall; to wear"
嗟 jie1 湝街阶接喈秸疖揭皆 "口 kou3, 差 cha4" 4707  "嗟 jie1 sigh"
蠹 du4 𬭊肚度芏渡杜镀妒 "冖 mi4, 石 dan4, 中 zhong1, 口 kou3, 虫 chong2, ㇀ ti2" 4708  "蠹 du4 insect that eats into books, clothing etc; moth-eaten; worm-eaten"
祯 zhen1 榛浈砧蓁斟瑧贞葴禛侦箴珍桢帧针臻甄真胗 "贞 zhen1, 卜 bu3, 贝 bei4, 人 ren2" 4709  "祯 zhen1 auspicious; lucky"
钎 qian1 汧扦磏圲岍愆褰芊骞仟佥阡铅搴谦迁千杄鹐牵悭签 "钅 jin1, 千 qian1, 𠂉 jiu3, 二 er4, 十 shi2" 4710  "钎 qian1 a drill (for boring through rock)"
炷 zhu4 柱纻驻助贮筑铸箸住祝苎砫注疰杼柷蛀伫翥著 "火 huo3, 主 zhu3, 人 ren2, 王 wang2, 土 tu3, 十 shi2" 4711  "炷 zhu4 wick of an oil lamp; to burn (incense etc); classifier for lit incense sticks"
蹉 cuo1 搓磋撮瑳 "差 cha4, 口 kou3, 止 zhi3" 4712 蹉跎 "蹉 cuo1 to error; to slip; to miss; to err
蹉跎 cuo1tuo2 (literary) to slip; (of looks etc) to fade away; (of time) to slip away; to squander (time, opportunities); to dillydally"
汛 xun4 训讯巽迅逊殉徇蕈驯噀 "氵 shui3, ㇀ ti2, 十 shi2" 4713 防汛 "汛 xun4 high water; flood; to sprinkle water
防汛 fang2xun4 flood control; anti-flood (precautions)"
粑 ba1 鲃巴叭疤蚆笆羓吧芭朳扒捌岜八 "米 mi3, 巴 ba1, 木 mu4, 十 shi2, 巳 si4" 4714  "糌粑 zan1ba1 tsamba, tibetan barley bread"
狎 xia2 黠暇叚峡柙侠翈硖霞瑕遐匣辖狭 "犭 quan3, 甲 jia3, 日 ri4, 囗 wei2" 4715  "狎 xia2 (bound form) (literary) to take liberties with sb or sth; to treat frivolously"
镕 rong2 容荣融绒溶熔茸蓉蝾戎榕瑢狨嵘 "钅 jin1, 容 rong2, 𠂉 jiu3, 二 er4, 宀 mian2, 谷 gu3, 冖 mi4, 八 ba1, 人 ren2, 口 kou3" 4716  "镕 rong2 to smelt; to fuse"
跖 zhi2 絷值直执职侄埴摭踯殖植 "石 dan4, 口 kou3, 止 zhi3" 4717  
渭 wei4 螱胃硙喂尉卫猬魏蔚位未味鳚煟畏碨霨谓慰 "氵 shui3, 胃 wei4, ㇀ ti2, 田 tian2, 月 yue4, 囗 wei2, 十 shi2" 4718  
滂 pang1 雱乓 "氵 shui3, 旁 pang2, ㇀ ti2, 亠 tou2, 冖 mi4, 方 fang1, 万 wan4" 4719 滂沱 "滂 pang1 rushing (water)
滂沱 pang1tuo2 pouring; flooding"
黢 qu1 蛆坥趋胠麹䓛诎躯𪨰蛐屈袪㭕驱祛岖区 "黑 hei1, 土 tu3, 口 kou3, 灬 huo3, 十 shi2, 厶 si1, 八 ba1" 4720  "黢 qu1 black; dark"
眦 zi4 恣自字渍 "目 mu4, 此 ci3, 囗 wei2, 止 zhi3, 匕 bi3" 4721  "眦 zi4 corner of the eye; canthus; eye socket"
錾 zan4 赞暂酂瓒 "斩 zhan3, 金 jin1, 车 che1, 斤 jin1, 十 shi2, 干 gan4" 4722  "錾 zan4 to engrave"
炕 kang4 伉抗亢钪闶 "火 huo3, 亢 kang4, 人 ren2, 亠 tou2, 几 ji3" 4723 土炕 "炕 kang4 kang (a heatable brick bed); to bake; to dry by the heat of a fire
