的 de
了 le
毫不 hao4bu4
毫无 hao2wu2 "not in the least; to completely lack"
丝毫 si1hao2 "the slightest amount or degree; a bit"
佳节 jia1jie2 "festive day; holiday"
宽广 kuan1guang3 "wide; broad; extensive; vast"
宽 kuan1 "wide; broad; loose; relaxed; lenient"
宽厚 kuan1hou4 "tolerant; generous; magnanimous; thick and broad (build); thick and deep (voice)"
宽容 kuan1rong2 "lenient; tolerant; indulgent; charitable; to forgive"
宽松 kuan1song5
氛围 fen1wei2 "ambience; atmosphere"
号码 hao4ma3 number
密码 mi4ma3 "cipher; secret code; password; pin"
码 ma3 "weight; number; code; to pile; to stack; classifier for length or distance (yard), happenings etc"
丢掉 diu1diao4 "to lose; to throw away; to discard; to cast away"
丢脸 diu1lian3 "to lose face; humiliation"
丢弃 diu1qi4 "to discard; to abandon"
丢人 diu1ren2 "to lose face"
丢失 diu1shi1 "to lose; to misplace"
忍心 ren3xin1 "to have the heart to do sth; to steel oneself to a task"
容忍 rong2ren3 "to put up with; to tolerate"
灯泡 deng1pao4 "light bulb; third-wheel or unwanted third party spoiling a couple's date (slang)"
气泡 qi4pao4 "bubble; blister (in metal); (of beverages) sparkling; carbonated"
得罪 de2zui5 "to offend sb; to make a faux pas; a faux pas"
罪犯 zui4fan4 criminal
闹 nao4 "noisy; cacophonous; to make noise; to disturb; to vent (feelings); to fall ill; to have an attack (of sickness); to go in (for some activity); to joke"
闹钟 nao4zhong1 "alarm clock"
看热闹 kan4re4nao5
闹事 nao4shi4 "to cause trouble; to create a disturbance"
闹着玩儿 nao4zhe5wan2
城墙 cheng2qiang2 "city wall"
围墙 wei2qiang2 "perimeter wall; fence"
短缺 duan3que1 shortage
紧缺 jin3que1 "in short supply; scarce"
缺口 que1kou3 "nick; jag; gap; shortfall"
缺失 que1shi1 "lack; deficiency; shortcoming; flaw; defect; to be deficient; to lack"
缺席 que1xi2 "absence; absent"
汤圆 tang1yuan2 "boiled or deep-fried balls of glutinous rice flour, usually eaten during lantern festival"
团圆 tuan2yuan2 "to have a reunion"
圆形 yuan2xing2 "round; circular"
狂欢 kuang2huan1 "party; carousal; hilarity; merriment; whoopee; to carouse"
狂欢节 kuang2huan1jie2
狂热 kuang2re4 "zealotry; fanatical; feverish"
避 bi4 "to avoid; to shun; to flee; to escape; to keep away from; to leave; to hide from"
避免 bi4mian3 "to avert; to prevent; to avoid; to refrain from"
不可避免 bu4ke3bi4mian3
领略 ling3lüe4 "to have a taste of; to realize; to appreciate"
略微 lüe4wei1 "a little bit; slightly"
略 lüe4 "brief; sketchy; outline; summary; to omit; (bound form before a single-character verb) a bit; somewhat; slightly; plan; strategy; to capture (territory)"
省略 sheng3lüe4 "to leave out; an omission"
机灵 ji1ling5 "clever; quick-witted"
灵 ling2 "quick; alert; efficacious; effective; to come true; spirit; departed soul; coffin"
灵感 ling2gan3 "inspiration; insight; a burst of creativity in scientific or artistic endeavor"
灵机一动 ling2ji1yi1dong4
灵通 ling2tong1 "fast and abundant (news); clever; effective"
失灵 shi1ling2 "out of order (of machine); not working properly; a failing (of a system)"
水灵灵 shui3ling2ling2
纷纷 fen1fen1 "one after another; in succession; one by one; continuously; diverse; in profusion; numerous and confused; pell-mell"
获胜 huo4sheng4 "victorious; to win; to triumph"
取胜 qu3sheng4 "to score a victory; to prevail over one's opponents"
胜出 sheng4chu1 "to come out on top; to win (in an election, contest etc); success; victory"
胜任 sheng4ren4 "qualified; competent (professionally); to be up to a task"
补给 bu3ji3 "supply; replenishment; to replenish"
补救 bu3jiu4 "to remedy"
互补 hu4bu3 "complementary; to complement each other"
修补 xiu1bu3 "to mend"
流露 liu2lu4 "to reveal (indirectly, implicitly); to show (interest, contempt etc) by means of one's actions, tone of voice etc"
露面 lou4mian4 "to show one's face; to appear (in public)"
露天 lu4tian1 "outdoors; al fresco; in the open"
操场 cao1chang3 "playground; sports field; drill ground"
操作 cao1zuo4 "to work; to operate; to manipulate"
操心 cao1xin1 "to worry about"
操控 cao1kong4 "to control; to manipulate"
包含 bao1han2 "to contain; to embody; to include"
含 han2 "to keep in the mouth; to contain"
含量 han2liang4 "content; quantity contained"
含有 han2you3 "to contain; including"
含义 han2yi4 "meaning (implicit in a phrase); implied meaning; hidden meaning; hint; connotation"
富含 fu4han2 "to contain in great quantities; rich in"
窗户 chuang1hu5 window
窗台 chuang1tai2 "window sill; window ledge"
窗子 chuang1zi5 window
黎明 li2ming2 "dawn; daybreak"
伯伯 bo2bo5 "father's elder brother; uncle"
伯母 bo2mu3 "wife of father's elder brother; aunt; (polite form of address for a woman who is about the age of one's mother)"
伯父 bo2fu4 "father's elder brother; term of respect for older man"
纽带 niu3dai4 "tie; link; bond"
遗留 yi2liu2 "to leave behind; to hand down"
遗弃 yi2qi4 "to leave; to abandon"
遗忘 yi2wang4 "to forget; to cease to think about (sb or sth) anymore"
遗物 yi2wu4 remnant
遗体 yi2ti3 "remains (of a dead person)"
遗愿 yi2yuan4 "final wishes of the departed"
遗址 yi2zhi3 "ruins; historic relics"
特邀 te4yao1 "special invitation"
邀 yao1 "to invite; to request; to intercept; to solicit; to seek"
应邀 ying4yao1 "at sb's invitation; on invitation"
暗示 an4shi4 "to hint; to suggest; hint; suggestion"
暗 an4 "dark; gloomy; hidden; secret; muddled; obscure; in the dark; to close (a door); to eclipse; muddled; stupid; ignorant"
黑暗 hei1an4 "dark; darkly; darkness"
过硬 guo4ying4 "to have perfect mastery of sth; to be up to the mark"
坚硬 jian1ying4 "hard; solid"
强硬 qiang2ying4 "tough; unyielding; hard-line"
生硬 sheng1ying4 "stiff; harsh"
硬币 ying4bi4 coin
硬盘 ying4pan2 "hard disk"
邻国 lin2guo2 "bordering country; neighbor country; neighboring countries; surrounding countries"
拖累 tuo1lei3 "to encumber; to be a burden on; to implicate"
魔鬼 mo2gui3 devil
魔术 mo2shu4 magic
摆脱 bai3tuo1 "to break away from; to cast off (old ideas etc); to get rid of; to break away (from); to break out (of); to free oneself from; to extricate oneself"
解脱 jie3tuo1 "to untie; to free; to absolve of; to get free of; to extirpate oneself"
脱节 tuo1jie2 "to come apart"
脱口而出 tuo1kou3er2chu1
脱身 tuo1shen1 "to get away; to escape (from obligations); to free oneself; to disengage"
脱落 tuo1luo4 "to drop off; to come off; to lose (hair etc); to omit (a character when writing)"
甜美 tian2mei3 "sweet; pleasant; happy"
甜头 tian2tou5 "sweet taste (of power, success etc); benefit"
狼 lang2 wolf
高尚 gao1shang4 "noble; lofty; refined; exquisite"
风尚 feng1shang4 "current custom; current way of doing things"
和尚 he2shang5
尚 shang4 "still; yet; to value; to esteem"
尚未 shang4wei4 "not yet; still not"
时尚 shi2shang4 "fashion; fad; fashionable"
测量 ce4liang2 "survey; to measure; to gauge; to determine"
测 ce4 "to survey; to measure; to conjecture"
测试 ce4shi4 "to test (machinery etc); to test (students); test; quiz; exam; beta (software)"
检测 jian3ce4 "to detect; to test; detection; sensing"
测算 ce4suan4 "to take measurements and calculate"
测验 ce4yan4 "test; to test"
观测 guan1ce4 "to observe; to survey; observation (scientific etc)"
推测 tui1ce4 "speculation; to conjecture; to surmise; to speculate"
大宗 da4zong1 "large amount; staple; influential family of long standing"
正宗 zheng4zong1 "orthodox school; fig. traditional; old school; authentic; genuine"
宗 zong1 "school; sect; purpose; model; ancestor; clan; to take as one's model (in academic or artistic work); classifier for batches, items, cases (medical or legal), reservoirs"
碰上 peng4shang4 "to run into; to come upon; to meet"
寒假 han2jia4 "winter vacation"
寒冷 han2leng3 "cold (climate); frigid; very cold"
口香糖 kou3xiang1tang2
糖果 tang2guo3 candy
喜糖 xi3tang2 "sweet given on a happy occasion (esp. wedding)"
搜集 sou1ji2 "to gather; to collect"
搜查 sou1cha2 "to search"
搜救 sou1jiu4 "search and rescue"
搜寻 sou1xun2 "to search; to look for"
不假思索 bu4jia3si1suo3
导火索 dao3huo3suo3
利索 li4suo5 nimble
摸索 mo1suo5 "to feel about; to grope about; to fumble; to do things slowly"
思索 si1suo3 "to think deeply; to ponder"
索性 suo3xing4 "you might as well (do it); simply; just"
索取 suo3qu3 "to ask; to demand"
词汇 ci2hui4 "vocabulary; list of words (e.g. for language teaching purposes); word"
汇 hui4 "to remit; to converge (of rivers); to exchange; class; collection"
汇报 hui4bao4 "to report; to give an account of; to collect information and report back; to report; to give an account of; report"
汇合 hui4he2 "confluence; to converge; to join; to fuse; fusion"
汇集 hui4ji2 "to collect; to compile; to converge; to collect; to compile; to converge"
耳机 er3ji1 "headphones; earphones; telephone receiver"
耳光 er3guang1 "a slap on the face"
耳目一新 er3mu4yi1xin1
耳熟能详 er3shu2neng2xiang2
交头接耳 jiao1tou2jie1er3
静止 jing4zhi3 "still; immobile; static; stationary"
举止 ju3zhi3 "bearing; manner; mien"
止步 zhi3bu4 "to halt; to stop; to go no farther"
止血 zhi3xue4 "to staunch (bleeding); hemostatic (drug)"
制止 zhi4zhi3 "to curb; to put a stop to; to stop; to check; to limit"
中止 zhong1zhi3 "to cease; to suspend; to break off; to stop; to discontinue"
不予 bu4yu3
授予 shou4yu3 "to award; to confer"
予以 yu3yi3 "to give; to impose; to apply"
保守 bao3shou3 "conservative; to guard; to keep"
坚守 jian1shou3 "to hold fast to; to stick to"
守候 shou3hou4 "to wait for; to expect; to keep watch; to watch over; to nurse"
守护 shou3hu4 "to guard; to protect"
登 deng1 "to scale (a height); to ascend; to mount; to publish or record; to enter (e.g. in a register); to press down with the foot; to step or tread on"
登记 deng1ji4 "to register (one's name)"
登录 deng1lu4 "to register; to log in"
登山 deng1shan1 "to climb a mountain; climbing; mountaineering"
登机 deng1ji1 "to board a plane"
登陆 deng1lu4 "to land; to come ashore; to make landfall (of typhoon etc)"
打针 da3zhen1 "to give or have an injection"
方针 fang1zhen1 "policy; guidelines"
指南针 zhi3nan2zhen1
疯子 feng1zi5 "madman; lunatic"
毫升 hao2sheng1 milliliter
回升 hui2sheng1 "to rise again after a fall; to pick up; rally (stock market etc)"
升温 sheng1wen1 "to become hot; temperature rise; (fig.) to intensify; to hot up; to escalate; to get a boost"
劝告 quan4gao4 "to advise; to urge; to exhort; exhortation; advice"
劝说 quan4shuo1 "to persuade; persuasion; to advise"
轮椅 lun2yi3 wheelchair
判处 pan4chu3 "to sentence; to condemn"
判定 pan4ding4 "to judge; to decide; judgment; determination"
判决 pan4jue2 "judgment (by a court of law); to pass judgment on; to sentence"
批判 pi1pan4 "to criticize; critique"
评判 ping2pan4 "to judge (a competition); to appraise"
恋恋不舍 lian4lian4bu4she3
留恋 liu2lian4 "reluctant to leave; to hate to have to go; to recall fondly"
迷恋 mi2lian4 "to be infatuated with; to be enchanted by; to be passionate about"
失恋 shi1lian4 "to lose one's love; to break up (in a romantic relationship); to feel jilted"
婚姻 hun1yin1 "matrimony; wedding; marriage"
躲藏 duo3cang2 "to conceal oneself; to go into hiding; to take cover"
躲避 duo3bi4 "to hide; to evade; to dodge; to take shelter; to avoid (difficulties)"
召集 zhao4ji2 "to convene; to gather"
频频 pin2pin2 "repeatedly; again and again; continuously; constantly"
前辈 qian2bei4 "senior; older generation; precursor"
长辈 zhang3bei4 "one's elders; older generation"
动摇 dong4yao2 "to sway; to waver; to rock; to rattle; to destabilize; to pose a challenge to"
摇摆 yao2bai3 "to sway; to wobble; to waver"
穷 qiong2 "poor; destitute; to use up; to exhaust; thoroughly; extremely; (coll.) persistently and pointlessly"
穷人 qiong2ren2 "poor people; the poor"
层出不穷 ceng2chu1bu4qiong2
无穷 wu2qiong2 "endless; boundless; inexhaustible"
川流不息 chuan1liu2bu4xi1
山川 shan1chuan1 "mountains and rivers; landscape"
欣慰 xin1wei4 "to be gratified"
损坏 sun3huai4 "to damage; to injure"
损人利己 sun3ren2li4ji3
损伤 sun3shang1 "to harm; to damage; to injure; impairment; loss; disability"
损 sun3 "to decrease; to lose; to damage; to harm; (coll.) to ridicule; to deride; (coll.) caustic; sarcastic; nasty; mean"
技巧 ji4qiao3 "skill; technique"
巧克力 qiao3ke4li4
灵巧 ling2qiao3 "deft; nimble; ingenious"
碰巧 peng4qiao3 "by chance; by coincidence; to happen to"
巧合 qiao3he2 "coincidence; coincidental; to coincide"
心灵手巧 xin1ling2shou3qiao3
交涉 jiao1she4 "to negotiate (with); to have dealings (with)"
直播 zhi2bo1 "(tv, radio) to broadcast live; live broadcast; (internet) to livestream; (agriculture) direct seeding"
重播 chong2bo1 "to replay; to rerun; (agriculture) to reseed; to oversow"
演播室 yan3bo1shi4
转播 zhuan3bo1 "relay; broadcast (on radio or tv)"
冲撞 chong1zhuang4 "to collide; jerking motion; to impinge; to offend; to provoke"
碰撞 peng4zhuang4 "to collide; collision"
撞击 zhuang4ji1 "to strike; to hit; to ram"
骗人 pian4ren2 "to cheat sb; a scam"
受骗 shou4pian4 "to be cheated; to be taken in; to be hoodwinked"
支付 zhi1fu4 "to pay (money)"
对付 dui4fu5 "to handle; to deal with; to tackle; to get by with; to make do"
付出 fu4chu1 "to pay; to invest (energy or time in a friendship etc)"
付费 fu4fei4 "to pay; to cover the costs"
付款 fu4kuan3 "to pay a sum of money; payment"
交付 jiao1fu4 "to hand over; to deliver"
托付 tuo1fu4 "to entrust"
应付 ying1fu4
魂 hun2 "soul; spirit; immortal soul (that can be detached from the body)"
灵魂 ling2hun2 "soul; spirit"
光临 guang1lin2 "(formal) to honor with one's presence; to attend"
临时 lin2shi2 "as the time draws near; at the last moment; temporary; interim; ad hoc"
面临 mian4lin2 "to face sth; to be confronted with"
居高临下 ju1gao1lin2xia4
来临 lai2lin2 "to approach; to come closer"
临 lin2 "to face; to overlook; to arrive; to be (just) about to; just before"
临街 lin2jie1 "facing the street"
临近 lin2jin4 "close to; approaching"
临床 lin2chuang2 clinical
分散 fen1san4 "to scatter; to disperse; to distribute"
解散 jie3san4 "to dissolve; to disband"
散布 san4bu4 "to disseminate"
散发 san4fa1 "to distribute; to emit; to issue"
文献 wen2xian4 document
献血 xian4xie3
电讯 dian4xun4 "telecommunications; telecom"
资讯 zi1xun4 information
描写 miao2xie3 "to describe; to depict; to portray; description"
素描 su4miao2 sketch
描述 miao2shu4 "to describe; description"
陈述 chen2shu4 "an assertion; to declare; to state"
讲述 jiang3shu4 "to talk about; to narrate; to give an account"
论述 lun4shu4 "treatise; discourse; exposition"
上述 shang4shu4 "aforementioned; above-mentioned"
综上所述 zong1shang4suo3shu4
稍后 shao1hou4 "in a little while; in a moment; later on"
稍稍 shao1shao1 "somewhat; a little; slightly"
稍候 shao1hou4 "to wait a moment"
粉 fen3 "powder; cosmetic face powder; food prepared from starch; noodles or pasta made from any kind of flour; to turn to powder; white; pink; to be a fan of"
粉丝 fen3si1 "bean vermicelli; mung bean starch noodles; chinese vermicelli; cellophane noodles; enthusiast for sb or sth"
面粉 mian4fen3 flour
祖传 zu3chuan2 "passed on from ancestors; handed down from generation to generation"
祖先 zu3xian1 "ancestor; forebears"
祖宗 zu3zong5
吻 wen3 "kiss; to kiss; mouth"
吻合 wen3he2 "to be a good fit; to be identical with; to adjust oneself to; to fit in"
厌烦 yan4fan2 "bored; fed up with sth; sick of sth"
摄氏度 she4shi4du4
乃至 nai3zhi4 "and even; to go so far as to"
乃 nai3 "to be; thus; so; therefore; then; only; thereupon"
柔和 rou2he2 "gentle; soft"
柔软 rou2ruan3 soft
温柔 wen1rou2 "gentle and soft; tender"
串门 chuan4men2 "to call on sb; to drop in; to visit sb's home"
一连串 yi1lian2chuan4
兼 jian1 "double; twice; simultaneous; holding two or more (official) posts at the same time"
兼顾 jian1gu4 "to attend simultaneously to two or more things; to balance (career and family, family and education etc)"
兼任 jian1ren4 "to hold several jobs at once; concurrent post; working part-time"
兼容 jian1rong2 compatible
兼职 jian1zhi2 "to hold concurrent posts; concurrent job; moonlighting"
下乡 xia4xiang1 "to go to the countryside"
乡亲 xiang1qin1 "fellow countryman (from the same village); local people; villager; the folks back home"
乡下 xiang1xia5 "countryside; rural area"
融 rong2 "to melt; to thaw; to blend; to merge; to be in harmony"
融化 rong2hua4 "to melt; to thaw; to dissolve; to blend into; to combine; to fuse"
阴暗 yi1nan4
阴性 yin1xing4 "negative; feminine"
固定 gu4ding4 "to fix; to fasten; to set rigidly in place; fixed; set; regular"
坚固 jian1gu4 "firm; firmly; hard; stable"
固然 gu4ran2 "admittedly (it's true that...)"
固执 gu4zhi5
稳固 wen3gu4 "stable; steady; firm; to stabilize"
清晰 qing1xi1 "clear; distinct"
漫 man4 "free; unrestrained; to inundate"
漫游 man4you2 "to travel around; to roam; (mobile telephony) roaming"
寂静 ji4jing4 quiet
寂寞 ji4mo4 "lonely; lonesome; (of a place) quiet; silent"
孤单 gu1dan1 "lone; lonely; loneliness"
孤立 gu1li4 "isolated; to isolate"
禁止 jin4zhi3 "to prohibit; to forbid; to ban"
禁不住 jin1bu5zhu4
禁区 jin4qu1 "restricted area; forbidden region"
情不自禁 qing2bu4zi4jin1
严禁 yan2jin4 "to strictly prohibit"
敲边鼓 qiao1bian1gu3
推敲 tui1qiao1 "to think over"
短暂 duan3zan4 "of short duration; brief; momentary"
暂 zan4 "temporary; to scurry"
陌生 mo4sheng1 "strange; unfamiliar"
瑞雪 rui4xue3 "timely snow"
阿姨 a1yi2 "maternal aunt; step-mother; childcare worker; nursemaid; woman of similar age to one's parents (term of address used by child)"
姨 yi2 "mother's sister; aunt"
魅力 mei4li4 "charm; fascination; glamor; charisma"
插手 cha1shou3 "to get involved in; to meddle; interference"
插图 cha1tu2 illustration
插嘴 cha1zui3 "to interrupt (sb talking); to butt in; to cut into a conversation"
悔恨 hui3hen4 "remorse; repentance"
整齐 zheng3qi2 "orderly; neat; even; tidy"
视野 shi4ye3 "field of view; (fig.) outlook; perspective"
野外 ye3wai4 "countryside; areas outside the city"
野心 ye3xin1 "ambition; wild schemes; careerism"
野营 ye3ying2 "to camp; field lodgings"
投稿 tou2gao3 "to submit articles for publication; to contribute (writing)"
配件 pei4jian4 "component; part; fitting; accessory; replacement part"
配送 pei4song4 "to deliver (goods)"
配偶 pei4ou3 spouse
配音 pei4yin1 "dubbing (filmmaking)"
打折 da3zhe2 "to give a discount"
波折 bo1zhe2 "twists and turns"
存折 cun2zhe2 "passbook; bankbook"
曲折 qu1zhe2 "winding; (fig.) complicated"
折合 zhe2he2 "to convert into; to amount to; to be equivalent to"
转折 zhuan3zhe2 "shift in the trend of events; turnaround; plot shift in a book; turn in the conversation"
转折点 zhuan3zhe2dian3
奋勇 fen4yong3 "dauntless; to summon up courage and determination; using extreme force of will"
见义勇为 jian4yi4yong3wei2
勇往直前 yong3wang3zhi2qian2
勇于 yong3yu2 "to dare to; to be brave enough to"
刺激 ci4ji1 "to provoke; to irritate; to upset; to stimulate; to excite; irritant"
刺 ci4 "thorn; sting; thrust; to prick; to pierce; to stab; to assassinate; to murder"
冲刺 chong1ci4 "(sports) to sprint; to spurt; to dash; to put in a big effort to achieve a goal as the deadline approaches"
刺耳 ci4er3 ear-piercing
神仙 shen2xian5
仙女 xian1nü3 fairy
回扣 hui2kou4 "brokerage; a commission paid to a middleman; euphemism for a bribe; a kickback"
扣除 kou4chu2 "to deduct"
扣留 kou4liu2 "to detain; to arrest; to hold; to confiscate"
纽扣 niu3kou4 button
折扣 zhe2kou4 discount
俄语 e2yu3 "russian (language)"
俩 lia3 "both; some"
感叹 gan3tan4 "to sigh (with feeling); to lament"
勒 lei1 "to strap tightly; to bind"
杨树 yang2shu4 "poplar tree; various trees of genus populus"
厂家 chang3jia1 "factory; manufacturer; (coll.) a factory owner; the factory management"
出厂 chu1chang3 "to leave the factory (of finished goods)"
攻读 gong1du2 "to major (in a field); to study a specialty to obtain a higher degree"
攻 gong1 "to attack; to accuse; to study"
攻关 gong1guan1 "to storm a strategic pass; fig. to tackle a key problem"
扎根 zha1gen1 "to take root"
齐心协力 qi2xin1xie2li4
协定 xie2ding4 "agreement; accord; to reach an agreement"
协同 xie2tong2 "to cooperate; in coordination with; coordinated; collaborate; collaboration; collaborative"
协作 xie2zuo4 "cooperation; coordination"
餐桌 can1zhuo1 "dining table; dinner table"
风餐露宿 feng1can1lu4su4
就餐 jiu4can1 "to dine"
野餐 ye3can1 "picnic; to have a picnic"
用餐 yong4can1 "to eat a meal"
舞厅 wu3ting1 "dance hall; ballroom"
清凉 qing1liang2 "cool; refreshing; (of clothing) skimpy; revealing"
棵 ke1 "classifier for trees, cabbages, plants etc"
费劲 fei4jin4 "to require effort; strenuous"
较劲 jiao4jin4 "to match one's strength with; to compete; more competitive; to set oneself against sb; disobliging; to make a special effort"
劲头 jin4tou2 "enthusiasm; zeal; vigor; strength"
没劲 mei2jin4 "to have no strength; to feel weak; exhausted; feeling listless; boring; of no interest"
起劲 qi3jin4 "energetic; vigorous; enthusiastic"
强劲 qiang2jing4 "strong; powerful; robust"
一个劲儿 yi1ge5jin4
脖子 bo2zi5 neck
皇宫 huang2gong1 "imperial palace"
皇室 huang2shi4 "royal family; imperial household; member of the royal family"
皇上 huang2shang5 "the emperor; your majesty the emperor; his imperial majesty"
皇后 huang2hou4 "empress; imperial consort"
猛然 meng3ran2 "suddenly; abruptly"
猛烈 meng3lie4 "fierce; violent (criticism etc)"
垃圾 la1ji1 "trash; refuse; garbage; (coll.) of poor quality"
降价 jiang4jia4 "to cut the price; to drive down the price; to get cheaper"
降 jiang4 "to drop; to fall; to come down; to descend"
降低 jiang4di1 "to reduce; to lower; to bring down"
降落 jiang4luo4 "to descend; to land"
降温 jiang4wen1 "to become cooler; to lower the temperature; cooling; (of interest, activity etc) to decline"
降临 jiang4lin2 "to descend; to arrive; to come"
投降 tou2xiang2 "to surrender; surrender"
导弹 dao3dan4 "(guided) missile"
动弹 dong4tan5 "to budge"
反弹 fan3tan2 "to bounce; to bounce back; to boomerang; to ricochet; rebound (of stock market etc); bounce; backlash; negative repercussions"
弹性 tan2xing4 "flexibility; elasticity"
扩大 kuo4da4 "to expand; to enlarge; to broaden one's scope"
扩展 kuo4zhan3 "to extend; to expand; extension; expansion"
扩 kuo4 "to enlarge"
扩建 kuo4jian4 "to extend (a building, an airport runway etc)"
扩散 kuo4san4 "to spread; to proliferate; to diffuse"
扩张 kuo4zhang1 "expansion; dilation; to expand (e.g. one's power or influence); to broaden"
薄 bao2 "thin; cold in manner; indifferent; weak; light; infertile"
单薄 dan1bo2 "weak; frail; thin; flimsy"
透彻 tou4che4 "penetrating; thorough; incisive"
透过 tou4guo4 "to pass through; to penetrate; by means of; via"
透支 tou4zhi1 "(banking) to overdraw; to take out an overdraft; an overdraft; to overspend (i.e. expenditure in excess of revenue); (fig.) to exhaust (one's enthusiasm, energy etc); to damage a natural resource through overuse"
透气 tou4qi4 "to flow freely (of air); to ventilate; to breathe (of fabric etc); to take a breath of fresh air; to divulge"
双赢 shuang1ying2 "profitable to both sides; a win-win situation"
赢家 ying2jia5
删除 shan1chu2 "to delete; to cancel"
删 shan1 "to delete"
奋斗 fen4dou4 "to strive; to struggle"
斗 dou4 "to fight; to struggle; to condemn; to censure; to contend; to put together; coming together"
斗志 dou4zhi4 "will to fight; fighting spirit"
铺路 pu1lu4 "to pave (with paving stones); to lay a road; (fig.) to lay the groundwork (for sth); to give a present to sb to ensure success"
呼吸 hu1xi1 "to breathe"
称呼 cheng1hu5 "to call; to address as; form of address; appellation"
打招呼 da3zhao1hu5
呼救 hu1jiu4 "to call for help"
呼声 hu1sheng1 "a shout; fig. opinion or demand, esp. expressed by a group"
呼应 hu1ying4 "to conform (with); to echo; to correlate well; (linguistics) agreement"
欢呼 huan1hu1 "to cheer for; to acclaim"
哼 heng1 "to groan; to snort; to hum; to croon"
眉开眼笑 mei2kai1yan3xiao4
眉毛 mei2mao5 eyebrow
吃惊 chi1jing1 "to be startled; to be shocked; to be amazed"
触目惊心 chu4mu4jing1xin1
大吃一惊 da4chi1yi1jing1
大惊小怪 da4jing1xiao3guai4
惊 jing1 "to startle; to be frightened; to be scared; alarm"
惊奇 jing1qi2 "to be amazed; to be surprised; to wonder"
惊叹 jing1tan4 "to exclaim in admiration; a gasp of surprise"
惊天动地 jing1tian1dong4di4
惊险 jing1xian3 "perilous; touch-and-go; nerve-racking; suspenseful"
惊醒 jing1xing5
受惊 shou4jing1 startled
惊讶 jing1ya4 "amazed; astonished; to surprise; amazing; astonishment; awe"
镜头 jing4tou2 "camera lens; camera shot (in a movie etc); scene"
镜子 jing4zi5 mirror
望远镜 wang4yuan3jing4
头晕 tou2yun1 dizzy
晕倒 yun1dao3 "to faint; to swoon; to black out; to become unconscious"
促销 cu4xiao1 "to promote sales"
促使 cu4shi3 "to induce; to promote; to urge; to impel; to bring about; to provoke; to drive (sb to do sth); to catalyze; to actuate; to contribute to (some development)"
促进 cu4jin4 "to promote (an idea or cause); to advance; boost"
促成 cu4cheng2 "to facilitate; to effect"
逃生 tao2sheng1 "to flee for one's life"
逃避 tao2bi4 "to escape; to evade; to avoid; to shirk"
逃亡 tao2wang2 "to flee; flight (from danger); fugitive"
汗水 han4shui3 "sweat; perspiration"
爹 die1 dad
浏览器 liu2lan3qi4
浏览 liu2lan3 "to skim over; to browse"
游览 you2lan3 "to go sightseeing; to tour; to visit"
展览会 zhan3lan3hui4
倒闭 dao3bi4 "to go bankrupt; to close down"
封闭 feng1bi4 "to close; to seal off; to close down (an illegal venue); closed (i.e. isolated from outside input)"
关闭 guan1bi4 "to close; to shut (a window etc); (of a shop, school etc) to shut down"
武力 wu3li4 "military force"
武装 wu3zhuang1 "arms; equipment; to arm; military; armed (forces)"
机智 ji1zhi4 "quick-witted; resourceful"
明智 ming2zhi4 "sensible; wise; judicious; sagacious"
人工智能 ren2gong1zhi4neng2
智商 zhi4shang1 "iq (intelligence quotient)"
局 ju2 "narrow; office; situation; classifier for games: match, set, round etc"
布局 bu4ju2 "arrangement; composition; layout; opening (chess jargon)"
出局 chu1ju2 "to send off (player for a foul); to knock out (i.e. to beat in a knock-out tournament); to eliminate; to call out; to kill off; to pull out of (a competition); to retire (a runner in baseball); out (i.e. man out in baseball)"
大局 da4ju2 "overall situation; the big picture"
格局 ge2ju2 "structure; pattern; layout"
公安局 o1n5gan1ju2
顾全大局 gu4quan2da4ju2
结局 jie2ju2 "conclusion; ending"
局部 ju2bu4 "part; local"
局势 ju2shi4 "situation; state (of affairs)"
局限 ju2xian4 "to limit; to confine; to restrict sth within set boundaries"
全局 quan2ju2 "overall situation"
监察 jian1cha2 "to supervise; to control"
监管 jian1guan3 "to oversee; to take charge of; to supervise; to administer; supervisory; supervision"
监护 jian1hu4 "to act as a guardian"
监控 jian1kong4 "to monitor"
监视 jian1shi4 "to monitor; to keep a close watch over; surveillance"
督促 du1cu4 "to supervise and urge completion of a task; to urge on"
患 huan4 "to suffer (from illness); to contract (a disease); misfortune; trouble; danger; worry"
患病 huan4bing4 "to fall ill"
患有 huan4you3 "to contract (an illness); to be afflicted with; to suffer from"
丰硕 feng1shuo4 "plentiful; substantial; rich (in resources etc)"
硕果 shuo4guo3 "major achievement; great work; triumphant success"
伸手 shen1shou3 "to reach out with one's hand; to hold out a hand; (fig.) to beg; to get involved; to meddle"
伸张 shen1zhang1 "to uphold (e.g. justice or virtue); to promote"
信贷 xin4dai4 "credit; borrowed money"
偏差 pian1cha1 "bias; deviation"
偏方 pian1fang1 "folk remedy; home remedy"
偏见 pian1jian4 "prejudice; bias"
偏偏 pian1pian1 "(indicates that sth turns out just the opposite of what one would wish) unfortunately; as it happened; (indicates that sth is the opposite of what would be normal or reasonable) stubbornly; contrarily; against reason; (indicates that sb or a group is singled out) precisely; only; of all people"
偏向 pian1xiang4 "partial towards sth; to prefer; to incline; erroneous tendencies (leftist or revisionist deviation)"
偏远 pian1yuan3 "remote; far from civilization"
财富 cai2fu4 "wealth; riches"
财产 cai2chan3 "property; assets; estate"
